fold,model,alpha,RMSE,MAE,mtry,min.node.size
1,glmnet,0.25,110.51293167342477,70.37329106809203,NA,NA
1,random_forest,NA,98.08884136169387,59.52954711847826,3,1
2,glmnet,0.5,105.25671772803713,69.45736857005701,NA,NA
2,random_forest,NA,91.62560754959785,57.26284026158076,3,1
3,glmnet,0.75,105.95894672705683,70.75236816995204,NA,NA
3,random_forest,NA,93.80395594268668,59.69690126779387,3,1
4,glmnet,0.25,122.61590653731355,74.98687833429503,NA,NA
4,random_forest,NA,108.76617875117724,62.48215924606142,3,1
5,glmnet,0.75,123.87728441567087,73.740332348548975,NA,NA
5,random_forest,NA,111.4628400861596,63.191215434568534,3,1
