"color","n","mean","sd","se"
"blue",4,45.6940114154254,24.1339432530958,12.0669716265479
"green",4,36.9400117161126,30.5791302221129,15.2895651110565
"red",4,44.7119447002016,48.3425347745111,24.1712673872555
"white",1,33.6056097379092,NA,NA
