"color","n","mean","sd","se"
"blue",3,64.1056742847912,3.38857316733706,1.95639363033079
"green",4,64.702001305653,5.35027246826612,2.67513623413306
"red",4,62.7411960649749,6.44600978740799,3.22300489370399
"white",1,67.7475112071012,NA,NA
