"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,899.489148673657,299.829716224552,0.757864733413451,0.557191683864189
"color",3,191.646359549204,63.8821198497346,0.161471672452728,0.918464196595824
"Residuals",6,2373.74589162455,395.624315270758,NA,NA
