"color","n","mean","sd","se"
"blue",4,50.9763070101666,38.8899141839241,19.444957091962
"green",4,48.5156971530929,48.8478122690121,24.4239061345061
"red",4,69.1711612417828,59.3135085833878,29.6567542916939
"white",1,9.76966624041928,NA,NA
