"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,116498.27619562,38832.7587318734,57.8579450026793,8.05674001373897e-05
"color",3,3427.67231563805,1142.55743854602,1.70232627298607,0.264985034062205
"Residuals",6,4027.04507359276,671.174178932126,NA,NA
