"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_green","int_red","int_white"
"conf_blue",0,4.12304812507508,0.179107106394294,1.96837577721277,27.6998411045991,40.8925234833134,3.80617988273434,4.36287657815137,3.56016715551539,0.385847061835834,1.53827869862671,0.657445061612287
"conf_green",4.12304812507508,0,3.94394101868078,2.1546723478623,31.8228892296742,45.0155716083885,7.92922800780942,8.48592470322645,7.68321528059046,3.73720106323924,5.66132682370178,4.78049318668736
"conf_red",0.179107106394294,3.94394101868078,0,1.78926867081848,27.8789482109934,41.0716305897077,3.98528698912864,4.54198368454566,3.73927426190968,0.206739955441541,1.717385805021,0.83655216800658
"fusion_blue",1.96837577721277,2.1546723478623,1.78926867081848,0,29.6682168818119,42.8608992605262,5.77455565994712,6.33125235536414,5.52854293272816,1.58252871537694,3.50665447583948,2.62582083882506
"fusion_green",27.6998411045991,31.8228892296742,27.8789482109934,29.6682168818119,0,13.1926823787143,23.8936612218648,23.3369645264477,24.1396739490837,28.0856881664349,26.1615624059724,27.0423960429868
"fusion_red",40.8925234833134,45.0155716083885,41.0716305897077,42.8608992605262,13.1926823787143,0,37.0863436005791,36.529646905162,37.332356327798,41.2783705451492,39.3542447846867,40.2350784217011
"FV_blue",3.80617988273434,7.92922800780942,3.98528698912864,5.77455565994712,23.8936612218648,37.0863436005791,0,0.556696695417026,0.246012727218958,4.19202694457018,2.26790118410764,3.14873482112206
"FV_green",4.36287657815137,8.48592470322645,4.54198368454566,6.33125235536414,23.3369645264477,36.529646905162,0.556696695417026,0,0.802709422635984,4.7487236399872,2.82459787952466,3.70543151653908
"FV_red",3.56016715551539,7.68321528059046,3.73927426190968,5.52854293272816,24.1396739490837,37.332356327798,0.246012727218958,0.802709422635984,0,3.94601421735122,2.02188845688868,2.9027220939031
"int_green",0.385847061835834,3.73720106323924,0.206739955441541,1.58252871537694,28.0856881664349,41.2783705451492,4.19202694457018,4.7487236399872,3.94601421735122,0,1.92412576046254,1.04329212344812
"int_red",1.53827869862671,5.66132682370178,1.717385805021,3.50665447583948,26.1615624059724,39.3542447846867,2.26790118410764,2.82459787952466,2.02188845688868,1.92412576046254,0,0.880833637014421
"int_white",0.657445061612287,4.78049318668736,0.83655216800658,2.62582083882506,27.0423960429868,40.2350784217011,3.14873482112206,3.70543151653908,2.9027220939031,1.04329212344812,0.880833637014421,0
