"system","n","mean","sd","se"
"fusion",3,10.079241567372,4.53768658404643,2.61983457079736
"conf",3,14.8616981360951,4.97682044318027,2.87336862257856
"FV",3,23.9761026375365,2.9191311436339,1.68536115157685
"int",4,27.3810786658543,4.17081897399902,2.08540948699951
