"color","n","mean","sd","se"
"blue",4,66.5006789226884,56.6862388568247,28.3431194284124
"green",4,39.9138995398539,25.604238386665,12.8021191933325
"red",4,53.1800919249388,42.0555002598262,21.0277501299131
"white",1,7.32465171839735,NA,NA
