"color","n","mean","sd","se"
"blue",4,44.0143370618405,57.2241132417501,28.612056620875
"green",4,171.10840630682,242.782868648138,121.391434324069
"red",4,292.421960302399,462.455448484605,231.227724242302
"white",1,12.1724481312668,NA,NA
