"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,12298.6505207409,4099.5501735803,16.2520997019809,0.00275707776783261
"color",3,1133.77091674301,377.923638914337,1.49822600024606,0.307580752164105
"Residuals",6,1513.48450308139,252.247417180232,NA,NA
