"color","n","mean","sd","se"
"blue",4,99.8132024358442,0.0881791336802831,0.0440895668401415
"green",4,99.8425162949789,0.0514305023082658,0.0257152511541329
"red",4,99.8619677858738,0.0514694455159914,0.0257347227579957
"white",1,99.8467318928809,NA,NA
