"system","n_points","slope_per_nm","slope_se","ci_low","ci_high","p_value"
"conf",3,-0.0216262581823241,0.00667864389708249,-0.0347164002206058,-0.00853611614404241,0.190686549386106
"fusion",3,0.0962013164710489,0.0109729135566483,0.0746944059000183,0.11770822704208,0.0723016468602473
"FV",3,-0.0286359158289258,0.0124706858289925,-0.053078460053751,-0.00419337160410049,0.261474395816585
"int",2,-0.0181320329176463,NA,NA,NA,NA
