param,material,process,selected_system,selected_color,training_n_groups,training_median_abs_diff_pct,training_q25_abs_diff_pct,training_q75_abs_diff_pct,heldout_n,heldout_median_abs_diff_pct,heldout_mean_abs_diff_pct,heldout_q25_abs_diff_pct,heldout_q75_abs_diff_pct,retrospective_lowest_abs_diff_pct,excess_over_retrospective_lowest_pct,heldout_category
ra,14301,b,int,white,57,20.7378952646953,10.5930217537381,47.4719727975258,1,17.8046093200529,17.8046093200529,17.8046093200529,17.8046093200529,11.140832750516,6.663776569536902,10--30\%
ra,14301,gla,int,green,58,20.235133381187502,10.042979777763879,50.73802078501345,1,39.9739768300296,39.9739768300296,39.9739768300296,39.9739768300296,0.791550096250212,39.18242673377939,>30\%
ra,14301,gri,int,white,57,20.7378952646953,10.5930217537381,47.4719727975258,1,20.1754033934219,20.1754033934219,20.1754033934219,20.1754033934219,13.3920304552239,6.783372938197999,10--30\%
ra,14301,hon,int,white,57,20.7378952646953,12.185479065509501,47.4719727975258,1,6.89916630515209,6.89916630515209,6.89916630515209,6.89916630515209,0.369447893329784,6.529718411822307,<10\%
ra,14301,mf,int,green,58,20.235133381187502,10.042979777763879,50.73802078501345,1,39.5660894271749,39.5660894271749,39.5660894271749,39.5660894271749,38.9380192751862,0.6280701519887018,>30\%
ra,14301,mr,int,green,58,20.235133381187502,10.042979777763879,45.6734099403935,1,88.9606559891129,88.9606559891129,88.9606559891129,88.9606559891129,68.7728080900642,20.18784789904869,>30\%
ra,14301,tf,int,green,58,20.235133381187502,10.042979777763879,45.6734099403935,1,56.0632107480551,56.0632107480551,56.0632107480551,56.0632107480551,15.8612038742836,40.202006873771495,>30\%
ra,14301,tr,int,green,58,20.235133381187502,10.042979777763879,45.6734099403935,1,60.1773816663922,60.1773816663922,60.1773816663922,60.1773816663922,42.0059258461871,18.171455820205104,>30\%
ra,14301,wedm_f,int,white,57,20.7378952646953,12.185479065509501,47.4719727975258,1,10.5930217537381,10.5930217537381,10.5930217537381,10.5930217537381,1.24459149132401,9.34843026241409,10--30\%
ra,14301,wedm_r,int,white,57,20.7378952646953,12.185479065509501,47.4719727975258,1,10.3357270203197,10.3357270203197,10.3357270203197,10.3357270203197,0.209405732199418,10.126321288120282,10--30\%
ra,al7075,b,int,green,58,20.235133381187502,10.042979777763879,45.6734099403935,1,52.3891623139716,52.3891623139716,52.3891623139716,52.3891623139716,22.5879655120824,29.801196801889205,>30\%
ra,al7075,gla,int,white,57,20.7378952646953,12.185479065509501,47.4719727975258,1,8.06801440921043,8.06801440921043,8.06801440921043,8.06801440921043,2.96568817466986,5.102326234540571,<10\%
ra,al7075,gri,int,white,57,20.7378952646953,10.5930217537381,47.4719727975258,1,18.9246199066266,18.9246199066266,18.9246199066266,18.9246199066266,2.57868982813595,16.34593007849065,10--30\%
ra,al7075,hon,int,green,58,20.235133381187502,10.042979777763879,45.6734099403935,1,57.3969041851939,57.3969041851939,57.3969041851939,57.3969041851939,6.0009881264271,51.395916058766794,>30\%
ra,al7075,mf,int,green,58,20.235133381187502,10.042979777763879,50.73802078501345,1,21.100970864567,21.100970864567,21.100970864567,21.100970864567,21.100970864567,0,10--30\%
ra,al7075,mr,int,green,58,20.235133381187502,10.042979777763879,50.73802078501345,1,42.7863388990324,42.7863388990324,42.7863388990324,42.7863388990324,42.7863388990324,0,>30\%
ra,al7075,tf,int,green,58,20.235133381187502,10.042979777763879,50.62683452726795,1,45.784596198139,45.784596198139,45.784596198139,45.784596198139,2.45513718401794,43.329459014121056,>30\%
ra,al7075,tr,int,green,58,20.235133381187502,10.042979777763879,45.6734099403935,1,73.0223960379787,73.0223960379787,73.0223960379787,73.0223960379787,65.7990810780424,7.223314959936289,>30\%
ra,al7075,wedm_f,int,white,57,20.7378952646953,12.185479065509501,47.4719727975258,1,8.30820410655968,8.30820410655968,8.30820410655968,8.30820410655968,3.19073260976706,5.11747149679262,<10\%
ra,al7075,wedm_r,int,white,57,20.7378952646953,12.185479065509501,47.4719727975258,1,3.9918026587578,3.9918026587578,3.9918026587578,3.9918026587578,1.61552200658661,2.3762806521711903,<10\%
ra,c45,b,int,white,57,20.7378952646953,12.185479065509501,47.4719727975258,1,1.19216757511038,1.19216757511038,1.19216757511038,1.19216757511038,1.19216757511038,0,<10\%
ra,c45,gla,int,green,58,20.235133381187502,10.042979777763879,50.73802078501345,1,22.2006184321389,22.2006184321389,22.2006184321389,22.2006184321389,5.63443129810873,16.56618713403017,10--30\%
ra,c45,gri,int,white,57,20.7378952646953,12.185479065509501,47.4719727975258,1,0.589963833273956,0.589963833273956,0.589963833273956,0.589963833273956,0.589963833273956,0,<10\%
ra,c45,hon,int,white,57,20.7378952646953,12.185479065509501,47.4719727975258,1,1.3552064757115,1.3552064757115,1.3552064757115,1.3552064757115,1.3552064757115,0,<10\%
ra,c45,mf,int,green,58,20.235133381187502,10.042979777763879,50.73802078501345,1,27.345434073068,27.345434073068,27.345434073068,27.345434073068,1.2335612787083,26.111872794359698,10--30\%
ra,c45,mr,int,green,58,20.235133381187502,10.042979777763879,45.6734099403935,1,52.7848240283857,52.7848240283857,52.7848240283857,52.7848240283857,37.0105008176241,15.774323210761601,>30\%
ra,c45,tf,int,green,58,20.235133381187502,10.042979777763879,45.6734099403935,1,66.0838461999746,66.0838461999746,66.0838461999746,66.0838461999746,54.2827325336984,11.801113666276201,>30\%
ra,c45,tr,int,green,58,20.235133381187502,10.042979777763879,45.6734099403935,1,90.9092373625716,90.9092373625716,90.9092373625716,90.9092373625716,80.0509661350495,10.858271227522096,>30\%
ra,c45,wedm_f,int,white,57,20.7378952646953,10.5930217537381,47.4719727975258,1,20.0086766261828,20.0086766261828,20.0086766261828,20.0086766261828,12.984742048451,7.023934577731801,10--30\%
ra,c45,wedm_r,int,white,57,20.7378952646953,12.185479065509501,47.4719727975258,1,9.20333421768702,9.20333421768702,9.20333421768702,9.20333421768702,0.161494139254598,9.041840078432422,<10\%
ra,ellor,gla,int,white,57,20.7378952646953,10.5930217537381,47.4719727975258,1,18.9151525059312,18.9151525059312,18.9151525059312,18.9151525059312,12.7328876887696,6.182264817161601,10--30\%
ra,ellor,gri,int,green,58,20.235133381187502,10.042979777763879,45.6734099403935,1,166.056328222203,166.056328222203,166.056328222203,166.056328222203,41.458237408676,124.59809081352701,>100\%
ra,ellor,hon,int,white,57,20.5393521435823,10.5930217537381,47.4719727975258,1,25.6728462963656,25.6728462963656,25.6728462963656,25.6728462963656,20.4365055893064,5.236340707059199,10--30\%
ra,ellor,mf,int,green,58,20.235133381187502,10.042979777763879,50.73802078501345,1,24.3123637531813,24.3123637531813,24.3123637531813,24.3123637531813,0.416582343602304,23.895781409578998,10--30\%
ra,ellor,mr,int,white,57,20.7378952646953,12.185479065509501,47.4719727975258,1,1.67352122890309,1.67352122890309,1.67352122890309,1.67352122890309,0.451829936317876,1.2216912925852141,<10\%
