"color","n","mean","sd","se"
"blue",4,64.6612970901493,36.3646229310639,18.1823114655319
"green",4,123.024064721574,43.9706958169766,21.9853479084883
"red",4,128.326641898522,57.9893823099437,28.9946911549719
"white",1,163.281148498952,NA,NA
