"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_blue","FV_green","FV_red","int_blue","int_green","int_red"
"conf_blue",0,0.000933457039096197,0.000659020672415522,0.00150955418197896,0.000790546522011937,0.000682930145543992,0.0701508488872236,0.012047719181453,0.0105167703724618,0.0125311504515224,0.0221169458153412,0.00780242275925502,0.0131092869616509
"conf_green",0.000933457039096197,0,0.000274436366680675,0.00244301122107515,0.00172400356110813,0.00161638718464019,0.0692173918481274,0.0111142621423568,0.0095833133333656,0.0115976934124262,0.021183488776245,0.00686896572015883,0.0121758299225547
"conf_red",0.000659020672415522,0.000274436366680675,0,0.00216857485439448,0.00144956719442746,0.00134195081795951,0.069491828214808,0.0113886985090375,0.00985774970004627,0.0118721297791069,0.0214579251429257,0.0071434020868395,0.0124502662892354
"fusion_blue",0.00150955418197896,0.00244301122107515,0.00216857485439448,0,0.000719007659967019,0.000826624036434964,0.0716604030692025,0.0135572733634319,0.0120263245544407,0.0140407046335014,0.0236264999973201,0.00931197694123398,0.0146188411436299
"fusion_green",0.000790546522011937,0.00172400356110813,0.00144956719442746,0.000719007659967019,0,0.000107616376467945,0.0709413954092355,0.0128382657034649,0.0113073168944737,0.0133216969735344,0.0229074923373531,0.00859296928126696,0.0138998334836629
"fusion_red",0.000682930145543992,0.00161638718464019,0.00134195081795951,0.000826624036434964,0.000107616376467945,0,0.0708337790327676,0.012730649326997,0.0111997005180058,0.0132140805970664,0.0227998759608852,0.00848535290479902,0.0137922171071949
"FV_blue",0.0701508488872236,0.0692173918481274,0.069491828214808,0.0716604030692025,0.0709413954092355,0.0708337790327676,0,0.0581031297057706,0.0596340785147618,0.0576196984357011,0.0480339030718824,0.0623484261279685,0.0570415619255726
"FV_blue",0.012047719181453,0.0111142621423568,0.0113886985090375,0.0135572733634319,0.0128382657034649,0.012730649326997,0.0581031297057706,0,0.00153094880899118,0.000483431270069445,0.0100692266338882,0.00424529642219795,0.00106156778019795
"FV_green",0.0105167703724618,0.0095833133333656,0.00985774970004627,0.0120263245544407,0.0113073168944737,0.0111997005180058,0.0596340785147618,0.00153094880899118,0,0.00201438007906063,0.0116001754428794,0.00271434761320677,0.00259251658918913
"FV_red",0.0125311504515224,0.0115976934124262,0.0118721297791069,0.0140407046335014,0.0133216969735344,0.0132140805970664,0.0576196984357011,0.000483431270069445,0.00201438007906063,0,0.00958579536381876,0.0047287276922674,0.000578136510128502
"int_blue",0.0221169458153412,0.021183488776245,0.0214579251429257,0.0236264999973201,0.0229074923373531,0.0227998759608852,0.0480339030718824,0.0100692266338882,0.0116001754428794,0.00958579536381876,0,0.0143145230560862,0.00900765885369026
"int_green",0.00780242275925502,0.00686896572015883,0.0071434020868395,0.00931197694123398,0.00859296928126696,0.00848535290479902,0.0623484261279685,0.00424529642219795,0.00271434761320677,0.0047287276922674,0.0143145230560862,0,0.0053068642023959
"int_red",0.0131092869616509,0.0121758299225547,0.0124502662892354,0.0146188411436299,0.0138998334836629,0.0137922171071949,0.0570415619255726,0.00106156778019795,0.00259251658918913,0.000578136510128502,0.00900765885369026,0.0053068642023959,0
