"color","n","mean","sd","se"
"blue",4,25.8182687396018,22.638634877163,11.3193174385815
"green",4,14.4377051390698,3.24795975516964,1.62397987758482
"red",4,14.1018049962261,4.06008701818696,2.03004350909348
"white",1,12.1854790655095,NA,NA
