"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,0.00173960176614011,0.000579867255380037,38.1184147339367,0.000265905095586792
"color",3,9.32711097569727e-05,3.10903699189909e-05,2.04377054197844,0.209325858168533
"Residuals",6,9.12735630944982e-05,1.52122605157497e-05,NA,NA
