"color","n","mean","sd","se"
"blue",4,202.266344105022,88.2427572578258,44.1213786289129
"green",4,73.4268415456316,51.9847546622492,25.9923773311246
"red",4,102.845710543048,84.1561699749197,42.0780849874599
"white",1,41.6154768870986,NA,NA
