"color","n","mean","sd","se"
"blue",4,69.782545775536,60.1452790408986,30.0726395204493
"green",4,79.5822521738336,80.6889675179557,40.3444837589778
"red",4,94.2884995052709,77.8994462119593,38.9497231059797
"white",1,20.2350438471835,NA,NA
