"color","n","mean","sd","se"
"blue",4,79.1190928615879,34.4705825331759,17.235291266588
"green",4,61.8904400651834,46.792383732307,23.3961918661535
"red",4,81.6284431166604,62.9714576726353,31.4857288363177
"white",1,51.9647708584223,NA,NA
