"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,1050.37893989389,350.126313297963,17.4196011130099,0.00229528181139945
"color",3,84.8703813610499,28.29012712035,1.40749983978912,0.329325535215353
"Residuals",6,120.597358467573,20.0995597445954,NA,NA
