"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,73474.4533165137,24491.4844388379,9.78845638065173,0.00997787541778161
"color",3,19423.1393448431,6474.37978161435,2.5876007737452,0.148415379793459
"Residuals",6,15012.4698847811,2502.07831413018,NA,NA
