"system","n_points","slope_per_nm","slope_se","ci_low","ci_high","p_value"
"conf",3,-1.97828544165642e-05,3.02156847189136e-05,-7.90055964656348e-05,3.94398876325064e-05,0.630959713426539
"fusion",3,-6.46748624419532e-05,2.77127201281807e-05,-0.000118991793893187,-1.03579309907191e-05,0.257719886634221
"FV",3,-0.000555387813264721,0.000216828957396381,-0.000980372569761627,-0.000130403056767814,0.23695745393052
"int",3,-0.000213019801769267,0.00142947059375267,-0.0030147821655245,0.00258874256198597,0.905823920889126
