"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,74.2227232105279,24.7409077368426,2.91764965200097,0.139507484632614
"color",3,22.0269769328091,7.34232564426969,0.8658669313487,0.516706071153897
"Residuals",5,42.3986953332024,8.47973906664049,NA,NA
