"","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_blue","int_green","int_red","int_white"
"conf_green",0,46.8106527803232,28.2158350832662,49.9757833184108,111.079046642655,44.3940291200476,61.5901724367763,36.3754485346812,181.530584476842,184.249689050304,48.5737394636111,73.0129794141879,46.2415553083341
"conf_red",46.8106527803232,0,18.594817697057,3.1651305380876,64.2683938623314,2.41662366027558,108.4008252171,83.1861013150044,134.719931696519,137.439036269981,95.3843922439343,119.823632194511,93.0522080886574
"fusion_blue",28.2158350832662,18.594817697057,0,21.7599482351446,82.8632115593884,16.1781940367814,89.8060075200425,64.5912836179474,153.314749393576,156.033853967038,76.7895745468773,101.228814497454,74.4573903916003
"fusion_green",49.9757833184108,3.1651305380876,21.7599482351446,0,61.1032633242438,5.58175419836317,111.565955755187,86.351231853092,131.554801158432,134.273905731893,98.5495227820219,122.988762732599,96.2173386267449
"fusion_red",111.079046642655,64.2683938623314,82.8632115593884,61.1032633242438,0,66.685017522607,172.669219079431,147.454495177336,70.4515378341878,73.1706424076494,159.652786106266,184.092026056843,157.320601950989
"FV_blue",44.3940291200476,2.41662366027558,16.1781940367814,5.58175419836317,66.685017522607,0,105.984201556824,80.7694776547288,137.136555356795,139.855659930256,92.9677685836587,117.407008534236,90.6355844283818
"FV_green",61.5901724367763,108.4008252171,89.8060075200425,111.565955755187,172.669219079431,105.984201556824,0,25.2147239020951,243.120756913619,245.83986148708,13.0164329731652,11.4228069774116,15.3486171284422
"FV_red",36.3754485346812,83.1861013150044,64.5912836179474,86.351231853092,147.454495177336,80.7694776547288,25.2147239020951,0,217.906033011524,220.625137584985,12.1982909289299,36.6375308795068,9.86610677365298
"int_blue",181.530584476842,134.719931696519,153.314749393576,131.554801158432,70.4515378341878,137.136555356795,243.120756913619,217.906033011524,0,2.71910457346161,230.104323940454,254.54356389103,227.772139785177
"int_blue",184.249689050304,137.439036269981,156.033853967038,134.273905731893,73.1706424076494,139.855659930256,245.83986148708,220.625137584985,2.71910457346161,0,232.823428513915,257.262668464492,230.491244358638
"int_green",48.5737394636111,95.3843922439343,76.7895745468773,98.5495227820219,159.652786106266,92.9677685836587,13.0164329731652,12.1982909289299,230.104323940454,232.823428513915,0,24.4392399505769,2.33218415527693
"int_red",73.0129794141879,119.823632194511,101.228814497454,122.988762732599,184.092026056843,117.407008534236,11.4228069774116,36.6375308795068,254.54356389103,257.262668464492,24.4392399505769,0,26.7714241058538
"int_white",46.2415553083341,93.0522080886574,74.4573903916003,96.2173386267449,157.320601950989,90.6355844283818,15.3486171284422,9.86610677365298,227.772139785177,230.491244358638,2.33218415527693,26.7714241058538,0
