"system","n","mean","sd","se"
"fusion",3,44.025336987036,1.38916334775982,0.802033832777493
"conf",2,51.0963089164866,1.72193285132584,1.21759039592039
"FV",3,57.4139081751444,2.13189647634135,1.23085100450009
"int",4,55.4795954730622,3.11901179224302,1.55950589612151
