"system","n","mean","sd","se"
"fusion",3,254.956909863526,44.7677212053683,25.8466558889255
"conf",3,156.953493988593,35.8892735073902,20.7206817205119
"FV",3,63.89003823392,20.5310899852683,11.8536303297511
"int",4,9.30167154419983,3.01598229684988,1.50799114842494
