"system","n","mean","sd","se"
"fusion",3,81.0075135119495,15.7268114108541,9.07987880155107
"conf",3,43.2490864363643,11.6388614793508,6.71969980816393
"FV",3,64.9242236421443,20.5752689843494,11.8791370867631
"int",4,17.2063415788548,3.46003728911654,1.73001864455827
