"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,0.00101447416593689,0.000338158055312298,39.4598533808214,0.000663688561245202
"color",3,1.56416792207836e-05,5.21389307359452e-06,0.608412110831765,0.637861757354458
"Residuals",5,4.28483669273658e-05,8.56967338547317e-06,NA,NA
