"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_blue","FV_green","FV_red","int_blue","int_green","int_red"
"conf_blue",0,18.3988514186146,92.0511145584622,116.781470340613,157.752397842406,288.641507445618,0.378930414498768,493.044565151294,146.825070697477,183.386396596679,229.034746459957,375.894766242184,413.184744099286
"conf_green",18.3988514186146,0,73.6522631398477,98.3826189219984,139.353546423791,270.242656027004,18.7777818331134,474.645713732679,165.223922116091,201.785248015294,247.433597878572,394.293617660798,394.785892680672
"conf_red",92.0511145584622,73.6522631398477,0,24.7303557821508,65.7012832839434,196.590392887156,92.430044972961,400.993450592832,238.876185255939,275.437511155141,321.08586101842,467.945880800646,321.133629540824
"fusion_blue",116.781470340613,98.3826189219984,24.7303557821508,0,40.9709275017926,171.860037105005,117.160400755112,376.263094810681,263.60654103809,300.167866937292,345.81621680057,492.676236582797,296.403273758673
"fusion_green",157.752397842406,139.353546423791,65.7012832839434,40.9709275017926,0,130.889109603213,158.131328256904,335.292167308888,304.577468539882,341.138794439085,386.787144302363,533.647164084589,255.432346256881
"fusion_red",288.641507445618,270.242656027004,196.590392887156,171.860037105005,130.889109603213,0,289.020437860117,204.403057705676,435.466578143095,472.027904042297,517.676253905576,664.536273687802,124.543236653668
"FV_blue",0.378930414498768,18.7777818331134,92.430044972961,117.160400755112,158.131328256904,289.020437860117,0,493.423495565793,146.446140282978,183.00746618218,228.655816045459,375.515835827685,413.563674513785
"FV_blue",493.044565151294,474.645713732679,400.993450592832,376.263094810681,335.292167308888,204.403057705676,493.423495565793,0,639.869635848771,676.430961747973,722.079311611251,868.939331393478,79.8598210520076
"FV_green",146.825070697477,165.223922116091,238.876185255939,263.60654103809,304.577468539882,435.466578143095,146.446140282978,639.869635848771,0,36.5613258992023,82.2096757624807,229.069695544707,560.009814796763
"FV_red",183.386396596679,201.785248015294,275.437511155141,300.167866937292,341.138794439085,472.027904042297,183.00746618218,676.430961747973,36.5613258992023,0,45.6483498632784,192.508369645505,596.571140695965
"int_blue",229.034746459957,247.433597878572,321.08586101842,345.81621680057,386.787144302363,517.676253905576,228.655816045459,722.079311611251,82.2096757624807,45.6483498632784,0,146.860019782226,642.219490559244
"int_green",375.894766242184,394.293617660798,467.945880800646,492.676236582797,533.647164084589,664.536273687802,375.515835827685,868.939331393478,229.069695544707,192.508369645505,146.860019782226,0,789.07951034147
"int_red",413.184744099286,394.785892680672,321.133629540824,296.403273758673,255.432346256881,124.543236653668,413.563674513785,79.8598210520076,560.009814796763,596.571140695965,642.219490559244,789.07951034147,0
