"","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_green",0,3.49985492322405,12.4228430382437,8.01742849332196,11.656086240794,5.92782846123757,10.5245399526992,7.41619412597532,1.60098945956832,7.83447168509308,7.94191301196604,7.87595696035255
"conf_red",3.49985492322405,0,8.92298811501964,4.51757357009791,8.15623131756995,9.42768338446163,14.0243948759233,10.9160490491994,1.89886546365573,11.3343266083171,11.4417679351901,11.3758118835766
"fusion_blue",12.4228430382437,8.92298811501964,0,4.40541454492173,0.766756797449684,18.3506714994813,22.9473829909429,19.839037164219,10.8218535786754,20.2573147233368,20.3647560502097,20.2987999985962
"fusion_green",8.01742849332196,4.51757357009791,4.40541454492173,0,3.63865774747205,13.9452569545595,18.5419684460212,15.4336226192973,6.41643903375364,15.851900178415,15.959341505288,15.8933854536745
"fusion_red",11.656086240794,8.15623131756995,0.766756797449684,3.63865774747205,0,17.5839147020316,22.1806261934932,19.0722803667693,10.0550967812257,19.4905579258871,19.5979992527601,19.5320432011466
"FV_blue",5.92782846123757,9.42768338446163,18.3506714994813,13.9452569545595,17.5839147020316,0,4.59671149146164,1.48836566473774,7.52881792080589,1.9066432238555,2.01408455072847,1.94812849911497
"FV_green",10.5245399526992,14.0243948759233,22.9473829909429,18.5419684460212,22.1806261934932,4.59671149146164,0,3.1083458267239,12.1255294122675,2.69006826760614,2.58262694073317,2.64858299234667
"FV_red",7.41619412597532,10.9160490491994,19.839037164219,15.4336226192973,19.0722803667693,1.48836566473774,3.1083458267239,0,9.01718358554363,0.418277559117762,0.525718885990727,0.45976283437723
"int_blue",1.60098945956832,1.89886546365573,10.8218535786754,6.41643903375364,10.0550967812257,7.52881792080589,12.1255294122675,9.01718358554363,0,9.4354611446614,9.54290247153436,9.47694641992086
"int_green",7.83447168509308,11.3343266083171,20.2573147233368,15.851900178415,19.4905579258871,1.9066432238555,2.69006826760614,0.418277559117762,9.4354611446614,0,0.107441326872966,0.0414852752594683
"int_red",7.94191301196604,11.4417679351901,20.3647560502097,15.959341505288,19.5979992527601,2.01408455072847,2.58262694073317,0.525718885990727,9.54290247153436,0.107441326872966,0,0.0659560516134974
"int_white",7.87595696035255,11.3758118835766,20.2987999985962,15.8933854536745,19.5320432011466,1.94812849911497,2.64858299234667,0.45976283437723,9.47694641992086,0.0414852752594683,0.0659560516134974,0
