param,material,process,best_system,best_color,best_n,best_median_abs_diff_pct,best_q25_abs_diff_pct,best_q75_abs_diff_pct,best_mean_abs_diff_pct,best_category
rsk,14301,b,FV,blue,1,72.1944530224875,72.1944530224875,72.1944530224875,72.1944530224875,>30\%
rsk,14301,gla,FV,red,1,1.91267808839816,1.91267808839816,1.91267808839816,1.91267808839816,<10\%
rsk,14301,gri,int,white,1,5.65991624502102,5.65991624502102,5.65991624502102,5.65991624502102,<10\%
rsk,14301,hon,fusion,blue,1,58.3617119301886,58.3617119301886,58.3617119301886,58.3617119301886,>30\%
rsk,14301,mf,int,blue,1,84.150280620914,84.150280620914,84.150280620914,84.150280620914,>30\%
rsk,14301,mr,int,red,1,76.9507925988534,76.9507925988534,76.9507925988534,76.9507925988534,>30\%
rsk,14301,tf,int,red,1,120.058435738645,120.058435738645,120.058435738645,120.058435738645,>100\%
rsk,14301,tr,FV,blue,1,112.735445483289,112.735445483289,112.735445483289,112.735445483289,>100\%
rsk,14301,wedm_f,int,white,1,33.0721617228287,33.0721617228287,33.0721617228287,33.0721617228287,>30\%
rsk,14301,wedm_r,int,green,1,7.11735516607507,7.11735516607507,7.11735516607507,7.11735516607507,<10\%
rsk,al7075,b,FV,red,1,71.1607292221214,71.1607292221214,71.1607292221214,71.1607292221214,>30\%
rsk,al7075,gla,FV,green,1,12.860380654945,12.860380654945,12.860380654945,12.860380654945,10--30\%
rsk,al7075,gri,int,white,1,23.9839933071305,23.9839933071305,23.9839933071305,23.9839933071305,10--30\%
rsk,al7075,hon,fusion,blue,1,70.386661330224,70.386661330224,70.386661330224,70.386661330224,>30\%
rsk,al7075,mf,FV,red,1,89.5837787194948,89.5837787194948,89.5837787194948,89.5837787194948,>30\%
rsk,al7075,mr,conf,green,1,17.9197050450632,17.9197050450632,17.9197050450632,17.9197050450632,10--30\%
rsk,al7075,tf,int,red,1,98.2477782468828,98.2477782468828,98.2477782468828,98.2477782468828,>30\%
rsk,al7075,tr,int,green,1,8.22335256586723,8.22335256586723,8.22335256586723,8.22335256586723,<10\%
rsk,al7075,wedm_f,int,white,1,11.026974303433,11.026974303433,11.026974303433,11.026974303433,10--30\%
rsk,al7075,wedm_r,FV,red,1,2.45262989162536,2.45262989162536,2.45262989162536,2.45262989162536,<10\%
