"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,31848.2155018097,10616.0718339366,40.0021372206615,0.000231911461069767
"color",3,874.643417607676,291.547805869225,1.09857351374373,0.419596607265071
"Residuals",6,1592.32569630603,265.387616051006,NA,NA
