"","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_blue","int_green","int_red","int_white"
"conf_green",0,0.487652430651067,12.2595273690718,13.7002230849029,26.8646473108279,46.6023879539753,31.8126583981799,61.7964537897846,46.8936562891531,47.3074797343441,42.7309320501243,41.9158006405746,44.4987243937876
"conf_red",0.487652430651067,0,11.7718749384207,14.187875515554,27.3522997414789,47.0900403846264,31.3250059675289,61.3088013591335,46.406003858502,46.819827303693,42.2432796194732,41.4281482099235,44.0110719631365
"fusion_blue",12.2595273690718,11.7718749384207,0,25.9597504539747,39.1241746798997,58.8619153230471,19.5531310291081,49.5369264207128,34.6341289200813,35.0479523652723,30.4714046810525,29.6562732715028,32.2391970247158
"fusion_green",13.7002230849029,14.187875515554,25.9597504539747,0,13.164424225925,32.9021648690725,45.5128814830828,75.4966768746875,60.593879374056,61.007702819247,56.4311551350272,55.6160237254775,58.1989474786905
"fusion_red",26.8646473108279,27.3522997414789,39.1241746798997,13.164424225925,0,19.7377406431475,58.6773057090078,88.6611011006125,73.758303599981,74.172127045172,69.5955793609522,68.7804479514025,71.3633717046155
"FV_blue",46.6023879539753,47.0900403846264,58.8619153230471,32.9021648690725,19.7377406431475,0,78.4150463521553,108.39884174376,93.4960442431284,93.9098676883194,89.3333200040996,88.5181885945499,91.1011123477629
"FV_green",31.8126583981799,31.3250059675289,19.5531310291081,45.5128814830828,58.6773057090078,78.4150463521553,0,29.9837953916047,15.0809978909732,15.4948213361642,10.9182736519444,10.1031422423947,12.6860659956077
"FV_red",61.7964537897846,61.3088013591335,49.5369264207128,75.4966768746875,88.6611011006125,108.39884174376,29.9837953916047,0,14.9027975006315,14.4889740554405,19.0655217396603,19.88065314921,17.297729395997
"int_blue",46.8936562891531,46.406003858502,34.6341289200813,60.593879374056,73.758303599981,93.4960442431284,15.0809978909732,14.9027975006315,0,0.413823445190999,4.16272423902879,4.9778556485785,2.3949318953655
"int_blue",47.3074797343441,46.819827303693,35.0479523652723,61.007702819247,74.172127045172,93.9098676883194,15.4948213361642,14.4889740554405,0.413823445190999,0,4.57654768421979,5.3916790937695,2.8087553405565
"int_green",42.7309320501243,42.2432796194732,30.4714046810525,56.4311551350272,69.5955793609522,89.3333200040996,10.9182736519444,19.0655217396603,4.16272423902879,4.57654768421979,0,0.815131409549707,1.76779234366329
"int_red",41.9158006405746,41.4281482099235,29.6562732715028,55.6160237254775,68.7804479514025,88.5181885945499,10.1031422423947,19.88065314921,4.9778556485785,5.3916790937695,0.815131409549707,0,2.582923753213
"int_white",44.4987243937876,44.0110719631365,32.2391970247158,58.1989474786905,71.3633717046155,91.1011123477629,12.6860659956077,17.297729395997,2.3949318953655,2.8087553405565,1.76779234366329,2.582923753213,0
