"system","n_points","slope_per_nm","slope_se","ci_low","ci_high","p_value"
"conf",3,2.15076553567615e-05,1.37396650881355e-05,-5.42208821598398e-06,4.8437398929507e-05,0.361905865006148
"fusion",3,-6.74114675875765e-06,2.99727784805741e-05,-6.54877925806829e-05,5.20054990631676e-05,0.859162009778059
"FV",3,-2.4693277603676e-05,1.56775342089184e-05,-5.5421244653156e-05,6.03468944580408e-06,0.360123193089033
"int",2,-4.48699203778973e-05,NA,NA,NA,NA
