"color","n","mean","sd","se"
"blue",4,372.521580240805,157.490695780684,78.7453478903422
"green",4,197.959110144901,125.89443615709,62.9472180785451
"red",4,455.106790178917,304.584882952112,152.292441476056
"white",1,8.3320219603741,NA,NA
