"","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_blue","int_green","int_red","int_white"
"conf_green",0,61.9527665986585,38.889577597282,66.3329118425485,146.719240421534,48.1992926681185,84.6229493188004,50.4191927353583,284.497725938659,288.535134102221,125.409200727337,104.631697912439,122.426107323636
"conf_red",61.9527665986585,0,23.0631890013765,4.38014524389001,84.7664738228756,13.75347393054,146.575715917459,112.371959334017,222.54495934,226.582367503563,187.361967325996,166.584464511097,184.378873922295
"fusion_blue",38.889577597282,23.0631890013765,0,27.4433342452665,107.829662824252,9.30971507083649,123.512526916082,89.3087703326403,245.608148341377,249.645556504939,164.298778324619,143.521275509721,161.315684920918
"fusion_green",66.3329118425485,4.38014524389001,27.4433342452665,0,80.3863285789856,18.13361917443,150.955861161349,116.752104577907,218.16481409611,222.202222259673,191.742112569886,170.964609754987,188.759019166185
"fusion_red",146.719240421534,84.7664738228756,107.829662824252,80.3863285789856,0,98.5199477534156,231.342189740335,197.138433156892,137.778485517125,141.815893680687,272.128441148872,251.350938333973,269.14534774517
"FV_blue",48.1992926681185,13.75347393054,9.30971507083649,18.13361917443,98.5199477534156,0,132.822241986919,98.6184854034768,236.29843327054,240.335841434102,173.608493395456,152.830990580557,170.625399991755
"FV_green",84.6229493188004,146.575715917459,123.512526916082,150.955861161349,231.342189740335,132.822241986919,0,34.2037565834421,369.120675257459,373.158083421021,40.786251408537,20.0087485936382,37.8031580048359
"FV_red",50.4191927353583,112.371959334017,89.3087703326403,116.752104577907,197.138433156892,98.6184854034768,34.2037565834421,0,334.916918674017,338.954326837579,74.9900079919791,54.2125051770804,72.006914588278
"int_blue",284.497725938659,222.54495934,245.608148341377,218.16481409611,137.778485517125,236.29843327054,369.120675257459,334.916918674017,0,4.03740816356219,409.906926665996,389.129423851097,406.923833262295
"int_blue",288.535134102221,226.582367503563,249.645556504939,222.202222259673,141.815893680687,240.335841434102,373.158083421021,338.954326837579,4.03740816356219,0,413.944334829558,393.16683201466,410.961241425857
"int_green",125.409200727337,187.361967325996,164.298778324619,191.742112569886,272.128441148872,173.608493395456,40.786251408537,74.9900079919791,409.906926665996,413.944334829558,0,20.7775028148987,2.98309340370111
"int_red",104.631697912439,166.584464511097,143.521275509721,170.964609754987,251.350938333973,152.830990580557,20.0087485936382,54.2125051770804,389.129423851097,393.16683201466,20.7775028148987,0,17.7944094111976
"int_white",122.426107323636,184.378873922295,161.315684920918,188.759019166185,269.14534774517,170.625399991755,37.8031580048359,72.006914588278,406.923833262295,410.961241425857,2.98309340370111,17.7944094111976,0
