"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,26169.7805060456,8723.26016868185,18.402812970075,0.00198318623629423
"color",3,5776.64459747704,1925.54819915901,4.06218577558976,0.068083617438598
"Residuals",6,2844.1065557315,474.017759288583,NA,NA
