"system","n","mean","sd","se"
"fusion",3,15.685039889093,12.3622667539553,7.13735803819003
"conf",3,27.5597329580269,9.8992823966341,5.71535335648082
"FV",3,18.9043097371716,14.26499771492,8.23590027069845
"int",4,33.4733311386944,16.3243827468839,8.16219137344194
