"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,33135.7767398423,11045.2589132808,8.46628694155988,0.0141244174745782
"color",3,9298.79175444392,3099.59725148131,2.37586822910577,0.168948527230908
"Residuals",6,7827.69990399999,1304.61665066666,NA,NA
