"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_green","int_red","int_white"
"conf_blue",0,0.240790952155259,2.74409047248387,6.95836631869002,3.04934472471754,6.47639094860294,4.14426244711443,1.64217482691293,2.79043538157026,8.03820571976096,3.95976199793182,7.33588590655007
"conf_green",0.240790952155259,0,2.50329952032861,6.71757536653477,2.80855377256228,6.23559999644768,3.90347149495917,1.88296577906819,3.03122633372552,7.7974147676057,3.71897104577656,7.09509495439482
"conf_red",2.74409047248387,2.50329952032861,0,4.21427584620615,0.305254252233667,3.73230047611907,1.40017197463056,4.3862652993968,5.53452585405413,5.29411524727709,1.21567152544795,4.5917954340662
"fusion_blue",6.95836631869002,6.71757536653477,4.21427584620615,0,3.90902159397249,0.481975370087083,2.81410387157559,8.60054114560296,9.74880170026028,1.07983940107093,2.9986043207582,0.37751958786005
"fusion_green",3.04934472471754,2.80855377256228,0.305254252233667,3.90902159397249,0,3.4270462238854,1.09491772239689,4.69151955163047,5.8397801062878,4.98886099504342,0.910417273214286,4.28654118183254
"fusion_red",6.47639094860294,6.23559999644768,3.73230047611907,0.481975370087083,3.4270462238854,0,2.33212850148851,8.11856577551587,9.2668263301732,1.56181477115802,2.51662895067112,0.859494957947133
"FV_blue",4.14426244711443,3.90347149495917,1.40017197463056,2.81410387157559,1.09491772239689,2.33212850148851,0,5.78643727402736,6.93469782868469,3.89394327264653,0.184500449182607,3.19162345943564
"FV_green",1.64217482691293,1.88296577906819,4.3862652993968,8.60054114560296,4.69151955163047,8.11856577551587,5.78643727402736,0,1.14826055465733,9.68038054667389,5.60193682484476,8.97806073346301
"FV_red",2.79043538157026,3.03122633372552,5.53452585405413,9.74880170026028,5.8397801062878,9.2668263301732,6.93469782868469,1.14826055465733,0,10.8286411013312,6.75019737950208,10.1263212881203
"int_green",8.03820571976096,7.7974147676057,5.29411524727709,1.07983940107093,4.98886099504342,1.56181477115802,3.89394327264653,9.68038054667389,10.8286411013312,0,4.07844372182914,0.702319813210885
"int_red",3.95976199793182,3.71897104577656,1.21567152544795,2.9986043207582,0.910417273214286,2.51662895067112,0.184500449182607,5.60193682484476,6.75019737950208,4.07844372182914,0,3.37612390861825
"int_white",7.33588590655007,7.09509495439482,4.5917954340662,0.37751958786005,4.28654118183254,0.859494957947133,3.19162345943564,8.97806073346301,10.1263212881203,0.702319813210885,3.37612390861825,0
