param,material,process,system,color,n,median_abs_diff_pct,mean_abs_diff_pct,q25_abs_diff_pct,q75_abs_diff_pct
ra,14301,b,FV,blue,1,344.293315015186,344.293315015186,344.293315015186,344.293315015186
ra,14301,b,FV,green,1,125.835406540607,125.835406540607,125.835406540607,125.835406540607
ra,14301,b,FV,red,1,158.782107216207,158.782107216207,158.782107216207,158.782107216207
ra,14301,b,conf,blue,1,149.135238036735,149.135238036735,149.135238036735,149.135238036735
ra,14301,b,conf,green,1,148.504573846377,148.504573846377,148.504573846377,148.504573846377
ra,14301,b,conf,red,1,198.28508617171,198.28508617171,198.28508617171,198.28508617171
ra,14301,b,fusion,blue,1,197.048818353357,197.048818353357,197.048818353357,197.048818353357
ra,14301,b,fusion,green,1,192.416694772479,192.416694772479,192.416694772479,192.416694772479
ra,14301,b,fusion,red,1,253.637097142765,253.637097142765,253.637097142765,253.637097142765
ra,14301,b,int,blue,1,141.854425064477,141.854425064477,141.854425064477,141.854425064477
ra,14301,b,int,green,1,11.140832750516,11.140832750516,11.140832750516,11.140832750516
ra,14301,b,int,red,1,252.513834924244,252.513834924244,252.513834924244,252.513834924244
ra,14301,b,int,white,1,17.8046093200529,17.8046093200529,17.8046093200529,17.8046093200529
ra,14301,gla,FV,blue,1,6.12694688554963,6.12694688554963,6.12694688554963,6.12694688554963
ra,14301,gla,FV,green,1,17.0875366489345,17.0875366489345,17.0875366489345,17.0875366489345
ra,14301,gla,FV,red,1,0.791550096250212,0.791550096250212,0.791550096250212,0.791550096250212
ra,14301,gla,conf,blue,1,18.1464090754326,18.1464090754326,18.1464090754326,18.1464090754326
ra,14301,gla,conf,green,1,36.5405223841291,36.5405223841291,36.5405223841291,36.5405223841291
ra,14301,gla,conf,red,1,53.4519158101584,53.4519158101584,53.4519158101584,53.4519158101584
ra,14301,gla,fusion,blue,1,59.2761195619805,59.2761195619805,59.2761195619805,59.2761195619805
ra,14301,gla,fusion,green,1,70.7748628230854,70.7748628230854,70.7748628230854,70.7748628230854
ra,14301,gla,fusion,red,1,88.9102724165356,88.9102724165356,88.9102724165356,88.9102724165356
ra,14301,gla,int,blue,1,27.8391090159206,27.8391090159206,27.8391090159206,27.8391090159206
ra,14301,gla,int,green,1,39.9739768300296,39.9739768300296,39.9739768300296,39.9739768300296
ra,14301,gla,int,red,1,31.4815087889724,31.4815087889724,31.4815087889724,31.4815087889724
ra,14301,gla,int,white,1,40.9712929794712,40.9712929794712,40.9712929794712,40.9712929794712
ra,14301,gri,FV,blue,1,63.814152613516,63.814152613516,63.814152613516,63.814152613516
ra,14301,gri,FV,green,1,35.3668218151127,35.3668218151127,35.3668218151127,35.3668218151127
ra,14301,gri,FV,red,1,59.2421146865064,59.2421146865064,59.2421146865064,59.2421146865064
ra,14301,gri,conf,blue,1,28.7375404435786,28.7375404435786,28.7375404435786,28.7375404435786
ra,14301,gri,conf,green,1,34.9693889831063,34.9693889831063,34.9693889831063,34.9693889831063
ra,14301,gri,conf,red,1,44.6359706806324,44.6359706806324,44.6359706806324,44.6359706806324
ra,14301,gri,fusion,blue,1,47.8819300167161,47.8819300167161,47.8819300167161,47.8819300167161
ra,14301,gri,fusion,green,1,53.0813106126927,53.0813106126927,53.0813106126927,53.0813106126927
ra,14301,gri,fusion,red,1,64.8573959218929,64.8573959218929,64.8573959218929,64.8573959218929
ra,14301,gri,int,blue,1,16.3265705044063,16.3265705044063,16.3265705044063,16.3265705044063
ra,14301,gri,int,green,1,19.1463594852502,19.1463594852502,19.1463594852502,19.1463594852502
ra,14301,gri,int,red,1,13.3920304552239,13.3920304552239,13.3920304552239,13.3920304552239
ra,14301,gri,int,white,1,20.1754033934219,20.1754033934219,20.1754033934219,20.1754033934219
ra,14301,hon,FV,blue,1,37.1332088640977,37.1332088640977,37.1332088640977,37.1332088640977
ra,14301,hon,FV,green,1,51.8318588955148,51.8318588955148,51.8318588955148,51.8318588955148
ra,14301,hon,FV,red,1,106.749344806359,106.749344806359,106.749344806359,106.749344806359
ra,14301,hon,conf,blue,1,11.723009230651,11.723009230651,11.723009230651,11.723009230651
ra,14301,hon,conf,green,1,32.7181686323015,32.7181686323015,32.7181686323015,32.7181686323015
ra,14301,hon,conf,red,1,46.8630772424569,46.8630772424569,46.8630772424569,46.8630772424569
ra,14301,hon,fusion,blue,1,55.8846257631041,55.8846257631041,55.8846257631041,55.8846257631041
ra,14301,hon,fusion,green,1,68.2183519912376,68.2183519912376,68.2183519912376,68.2183519912376
ra,14301,hon,fusion,red,1,84.6733279232776,84.6733279232776,84.6733279232776,84.6733279232776
ra,14301,hon,int,blue,1,2.64459501501027,2.64459501501027,2.64459501501027,2.64459501501027
ra,14301,hon,int,green,1,6.13046852563489,6.13046852563489,6.13046852563489,6.13046852563489
ra,14301,hon,int,red,1,0.369447893329784,0.369447893329784,0.369447893329784,0.369447893329784
ra,14301,hon,int,white,1,6.89916630515209,6.89916630515209,6.89916630515209,6.89916630515209
ra,14301,mf,FV,blue,1,124.89243673727,124.89243673727,124.89243673727,124.89243673727
ra,14301,mf,FV,green,1,55.0057318803917,55.0057318803917,55.0057318803917,55.0057318803917
ra,14301,mf,FV,red,1,66.4908429318008,66.4908429318008,66.4908429318008,66.4908429318008
ra,14301,mf,conf,blue,1,80.1521618130216,80.1521618130216,80.1521618130216,80.1521618130216
ra,14301,mf,conf,green,1,95.1077932426705,95.1077932426705,95.1077932426705,95.1077932426705
ra,14301,mf,conf,red,1,123.057601889103,123.057601889103,123.057601889103,123.057601889103
ra,14301,mf,fusion,blue,1,98.3956624095943,98.3956624095943,98.3956624095943,98.3956624095943
ra,14301,mf,fusion,green,1,132.541896304907,132.541896304907,132.541896304907,132.541896304907
ra,14301,mf,fusion,red,1,163.512578120843,163.512578120843,163.512578120843,163.512578120843
ra,14301,mf,int,blue,1,167.36346173791,167.36346173791,167.36346173791,167.36346173791
ra,14301,mf,int,green,1,39.5660894271749,39.5660894271749,39.5660894271749,39.5660894271749
ra,14301,mf,int,red,1,80.6047162459345,80.6047162459345,80.6047162459345,80.6047162459345
ra,14301,mf,int,white,1,38.9380192751862,38.9380192751862,38.9380192751862,38.9380192751862
ra,14301,mr,FV,blue,1,73.4559199887733,73.4559199887733,73.4559199887733,73.4559199887733
ra,14301,mr,FV,green,1,80.8890120272335,80.8890120272335,80.8890120272335,80.8890120272335
ra,14301,mr,FV,red,1,80.9704690794978,80.9704690794978,80.9704690794978,80.9704690794978
ra,14301,mr,conf,blue,1,83.7390667121205,83.7390667121205,83.7390667121205,83.7390667121205
