param,material,process,system,color,n,median_abs_diff_pct,mean_abs_diff_pct,q25_abs_diff_pct,q75_abs_diff_pct
ra,14301,mr,conf,green,1,79.6899443049974,79.6899443049974,79.6899443049974,79.6899443049974
ra,14301,mr,conf,red,1,75.8689751638108,75.8689751638108,75.8689751638108,75.8689751638108
ra,14301,mr,fusion,blue,1,82.0091470855799,82.0091470855799,82.0091470855799,82.0091470855799
ra,14301,mr,fusion,green,1,77.5561620762261,77.5561620762261,77.5561620762261,77.5561620762261
ra,14301,mr,fusion,red,1,73.6583574903872,73.6583574903872,73.6583574903872,73.6583574903872
ra,14301,mr,int,blue,1,69.5136149849312,69.5136149849312,69.5136149849312,69.5136149849312
ra,14301,mr,int,green,1,88.9606559891129,88.9606559891129,88.9606559891129,88.9606559891129
ra,14301,mr,int,red,1,68.7728080900642,68.7728080900642,68.7728080900642,68.7728080900642
ra,14301,mr,int,white,1,89.4956469776037,89.4956469776037,89.4956469776037,89.4956469776037
ra,14301,tf,FV,blue,1,15.8612038742836,15.8612038742836,15.8612038742836,15.8612038742836
ra,14301,tf,FV,green,1,40.5284736295452,40.5284736295452,40.5284736295452,40.5284736295452
ra,14301,tf,FV,red,1,43.9255283875198,43.9255283875198,43.9255283875198,43.9255283875198
ra,14301,tf,conf,blue,1,47.0413335230854,47.0413335230854,47.0413335230854,47.0413335230854
ra,14301,tf,conf,green,1,43.3825992911465,43.3825992911465,43.3825992911465,43.3825992911465
ra,14301,tf,conf,red,1,40.9508424458344,40.9508424458344,40.9508424458344,40.9508424458344
ra,14301,tf,fusion,blue,1,42.3575591732061,42.3575591732061,42.3575591732061,42.3575591732061
ra,14301,tf,fusion,green,1,36.772603929056,36.772603929056,36.772603929056,36.772603929056
ra,14301,tf,fusion,red,1,33.6319093109447,33.6319093109447,33.6319093109447,33.6319093109447
ra,14301,tf,int,blue,1,46.5288902638031,46.5288902638031,46.5288902638031,46.5288902638031
ra,14301,tf,int,green,1,56.0632107480551,56.0632107480551,56.0632107480551,56.0632107480551
ra,14301,tf,int,red,1,50.3969397173515,50.3969397173515,50.3969397173515,50.3969397173515
ra,14301,tf,int,white,1,56.4573767045768,56.4573767045768,56.4573767045768,56.4573767045768
ra,14301,tr,FV,blue,1,42.0059258461871,42.0059258461871,42.0059258461871,42.0059258461871
ra,14301,tr,FV,green,1,58.0426420501938,58.0426420501938,58.0426420501938,58.0426420501938
ra,14301,tr,FV,red,1,58.7764291969623,58.7764291969623,58.7764291969623,58.7764291969623
ra,14301,tr,conf,blue,1,58.3441817087037,58.3441817087037,58.3441817087037,58.3441817087037
ra,14301,tr,conf,green,1,55.7152772389075,55.7152772389075,55.7152772389075,55.7152772389075
ra,14301,tr,conf,red,1,54.344484897329,54.344484897329,54.344484897329,54.344484897329
ra,14301,tr,fusion,blue,1,55.7363438158918,55.7363438158918,55.7363438158918,55.7363438158918
ra,14301,tr,fusion,green,1,51.8644700775104,51.8644700775104,51.8644700775104,51.8644700775104
ra,14301,tr,fusion,red,1,49.6100780089457,49.6100780089457,49.6100780089457,49.6100780089457
ra,14301,tr,int,blue,1,50.6070872438708,50.6070872438708,50.6070872438708,50.6070872438708
ra,14301,tr,int,green,1,60.1773816663922,60.1773816663922,60.1773816663922,60.1773816663922
ra,14301,tr,int,red,1,55.5448025087653,55.5448025087653,55.5448025087653,55.5448025087653
ra,14301,tr,int,white,1,60.1871437122612,60.1871437122612,60.1871437122612,60.1871437122612
ra,14301,wedm_f,FV,blue,1,32.9803158650808,32.9803158650808,32.9803158650808,32.9803158650808
ra,14301,wedm_f,FV,green,1,1.24459149132401,1.24459149132401,1.24459149132401,1.24459149132401
ra,14301,wedm_f,FV,red,1,22.6406629395838,22.6406629395838,22.6406629395838,22.6406629395838
ra,14301,wedm_f,conf,blue,1,46.8493492018148,46.8493492018148,46.8493492018148,46.8493492018148
ra,14301,wedm_f,conf,green,1,55.8994885157176,55.8994885157176,55.8994885157176,55.8994885157176
ra,14301,wedm_f,conf,red,1,77.4890386868856,77.4890386868856,77.4890386868856,77.4890386868856
ra,14301,wedm_f,fusion,blue,1,93.3335998971211,93.3335998971211,93.3335998971211,93.3335998971211
ra,14301,wedm_f,fusion,green,1,100.284581929348,100.284581929348,100.284581929348,100.284581929348
ra,14301,wedm_f,fusion,red,1,127.12712869378,127.12712869378,127.12712869378,127.12712869378
ra,14301,wedm_f,int,blue,1,21.3404624546262,21.3404624546262,21.3404624546262,21.3404624546262
ra,14301,wedm_f,int,green,1,10.7021873553114,10.7021873553114,10.7021873553114,10.7021873553114
ra,14301,wedm_f,int,red,1,17.0762204833089,17.0762204833089,17.0762204833089,17.0762204833089
ra,14301,wedm_f,int,white,1,10.5930217537381,10.5930217537381,10.5930217537381,10.5930217537381
ra,14301,wedm_r,FV,blue,1,7.14410356088411,7.14410356088411,7.14410356088411,7.14410356088411
ra,14301,wedm_r,FV,green,1,1.35766628685674,1.35766628685674,1.35766628685674,1.35766628685674
ra,14301,wedm_r,FV,red,1,0.209405732199418,0.209405732199418,0.209405732199418,0.209405732199418
ra,14301,wedm_r,conf,blue,1,2.99984111376968,2.99984111376968,2.99984111376968,2.99984111376968
ra,14301,wedm_r,conf,green,1,3.24063206592493,3.24063206592493,3.24063206592493,3.24063206592493
ra,14301,wedm_r,conf,red,1,5.74393158625355,5.74393158625355,5.74393158625355,5.74393158625355
ra,14301,wedm_r,fusion,blue,1,9.9582074324597,9.9582074324597,9.9582074324597,9.9582074324597
ra,14301,wedm_r,fusion,green,1,6.04918583848721,6.04918583848721,6.04918583848721,6.04918583848721
ra,14301,wedm_r,fusion,red,1,9.47623206237262,9.47623206237262,9.47623206237262,9.47623206237262
ra,14301,wedm_r,int,green,1,11.0380468335306,11.0380468335306,11.0380468335306,11.0380468335306
ra,14301,wedm_r,int,red,1,6.9596031117015,6.9596031117015,6.9596031117015,6.9596031117015
ra,14301,wedm_r,int,white,1,10.3357270203197,10.3357270203197,10.3357270203197,10.3357270203197
ra,al7075,b,FV,blue,1,342.144687994523,342.144687994523,342.144687994523,342.144687994523
ra,al7075,b,FV,green,1,128.508880366776,128.508880366776,128.508880366776,128.508880366776
ra,al7075,b,FV,red,1,137.191356087829,137.191356087829,137.191356087829,137.191356087829
ra,al7075,b,conf,blue,1,139.757171889541,139.757171889541,139.757171889541,139.757171889541
ra,al7075,b,conf,green,1,133.428940244121,133.428940244121,133.428940244121,133.428940244121
ra,al7075,b,conf,red,1,163.68509739247,163.68509739247,163.68509739247,163.68509739247
ra,al7075,b,fusion,blue,1,173.516494847041,173.516494847041,173.516494847041,173.516494847041
ra,al7075,b,fusion,green,1,162.837828587075,162.837828587075,162.837828587075,162.837828587075
ra,al7075,b,fusion,red,1,197.023680949666,197.023680949666,197.023680949666,197.023680949666
ra,al7075,b,int,blue,1,314.794058588336,314.794058588336,314.794058588336,314.794058588336
ra,al7075,b,int,green,1,52.3891623139716,52.3891623139716,52.3891623139716,52.3891623139716
ra,al7075,b,int,red,1,915.094899854739,915.094899854739,915.094899854739,915.094899854739
ra,al7075,b,int,white,1,22.5879655120824,22.5879655120824,22.5879655120824,22.5879655120824
ra,al7075,gla,FV,blue,1,15.8267738873313,15.8267738873313,15.8267738873313,15.8267738873313
ra,al7075,gla,FV,green,1,17.4100927689479,17.4100927689479,17.4100927689479,17.4100927689479
ra,al7075,gla,FV,red,1,2.96568817466986,2.96568817466986,2.96568817466986,2.96568817466986
ra,al7075,gla,conf,blue,1,7.26627245537553,7.26627245537553,7.26627245537553,7.26627245537553
ra,al7075,gla,conf,green,1,31.7602980556338,31.7602980556338,31.7602980556338,31.7602980556338
ra,al7075,gla,conf,red,1,49.5401094987197,49.5401094987197,49.5401094987197,49.5401094987197
ra,al7075,gla,fusion,blue,1,34.855539165732,34.855539165732,34.855539165732,34.855539165732
ra,al7075,gla,fusion,green,1,51.1520627250386,51.1520627250386,51.1520627250386,51.1520627250386
ra,al7075,gla,fusion,red,1,68.8009147900972,68.8009147900972,68.8009147900972,68.8009147900972
ra,al7075,gla,int,blue,1,11.2685213034861,11.2685213034861,11.2685213034861,11.2685213034861
ra,al7075,gla,int,green,1,8.09560258362423,8.09560258362423,8.09560258362423,8.09560258362423
ra,al7075,gla,int,red,1,10.7602492398193,10.7602492398193,10.7602492398193,10.7602492398193
ra,al7075,gla,int,white,1,8.06801440921043,8.06801440921043,8.06801440921043,8.06801440921043
ra,al7075,gri,FV,blue,1,87.3879103304465,87.3879103304465,87.3879103304465,87.3879103304465
ra,al7075,gri,FV,green,1,42.5612937688618,42.5612937688618,42.5612937688618,42.5612937688618
ra,al7075,gri,FV,red,1,65.5034562813063,65.5034562813063,65.5034562813063,65.5034562813063
ra,al7075,gri,conf,blue,1,16.615221072802,16.615221072802,16.615221072802,16.615221072802
ra,al7075,gri,conf,green,1,31.4587711726046,31.4587711726046,31.4587711726046,31.4587711726046
ra,al7075,gri,conf,red,1,47.3961547824289,47.3961547824289,47.3961547824289,47.3961547824289
ra,al7075,gri,fusion,blue,1,36.6147828051782,36.6147828051782,36.6147828051782,36.6147828051782
ra,al7075,gri,fusion,green,1,54.5583165104749,54.5583165104749,54.5583165104749,54.5583165104749
ra,al7075,gri,fusion,red,1,70.6962341497769,70.6962341497769,70.6962341497769,70.6962341497769
ra,al7075,gri,int,blue,1,6.67363867690772,6.67363867690772,6.67363867690772,6.67363867690772
ra,al7075,gri,int,green,1,17.5621830380557,17.5621830380557,17.5621830380557,17.5621830380557
ra,al7075,gri,int,red,1,2.57868982813595,2.57868982813595,2.57868982813595,2.57868982813595
ra,al7075,gri,int,white,1,18.9246199066266,18.9246199066266,18.9246199066266,18.9246199066266
ra,al7075,hon,FV,blue,1,8.12777316879399,8.12777316879399,8.12777316879399,8.12777316879399
ra,al7075,hon,FV,green,1,25.8782240047812,25.8782240047812,25.8782240047812,25.8782240047812
ra,al7075,hon,FV,red,1,6.0009881264271,6.0009881264271,6.0009881264271,6.0009881264271
ra,al7075,hon,conf,blue,1,44.4502948314108,44.4502948314108,44.4502948314108,44.4502948314108
ra,al7075,hon,conf,green,1,33.3544799986207,33.3544799986207,33.3544799986207,33.3544799986207
ra,al7075,hon,conf,red,1,25.0966160332082,25.0966160332082,25.0966160332082,25.0966160332082
ra,al7075,hon,fusion,blue,1,32.8036836474726,32.8036836474726,32.8036836474726,32.8036836474726
ra,al7075,hon,fusion,green,1,19.7192713225225,19.7192713225225,19.7192713225225,19.7192713225225
ra,al7075,hon,fusion,red,1,11.4160459605529,11.4160459605529,11.4160459605529,11.4160459605529
ra,al7075,hon,int,blue,1,51.5359747230621,51.5359747230621,51.5359747230621,51.5359747230621
ra,al7075,hon,int,green,1,57.3969041851939,57.3969041851939,57.3969041851939,57.3969041851939
ra,al7075,hon,int,red,1,51.4268227902706,51.4268227902706,51.4268227902706,51.4268227902706
ra,al7075,hon,int,white,1,57.683752108618,57.683752108618,57.683752108618,57.683752108618
ra,al7075,mf,FV,blue,1,215.637038517854,215.637038517854,215.637038517854,215.637038517854
ra,al7075,mf,FV,green,1,81.6073240344425,81.6073240344425,81.6073240344425,81.6073240344425
ra,al7075,mf,FV,red,1,92.866563137828,92.866563137828,92.866563137828,92.866563137828
ra,al7075,mf,conf,blue,1,85.8145457570519,85.8145457570519,85.8145457570519,85.8145457570519
ra,al7075,mf,conf,green,1,105.448314700607,105.448314700607,105.448314700607,105.448314700607
ra,al7075,mf,conf,red,1,144.659147260974,144.659147260974,144.659147260974,144.659147260974
ra,al7075,mf,fusion,blue,1,120.242091858471,120.242091858471,120.242091858471,120.242091858471
ra,al7075,mf,fusion,green,1,138.859757080858,138.859757080858,138.859757080858,138.859757080858
ra,al7075,mf,fusion,red,1,176.776761056208,176.776761056208,176.776761056208,176.776761056208
ra,al7075,mf,int,blue,1,109.092498265802,109.092498265802,109.092498265802,109.092498265802
ra,al7075,mf,int,green,1,21.100970864567,21.100970864567,21.100970864567,21.100970864567
ra,al7075,mf,int,red,1,326.61225242357,326.61225242357,326.61225242357,326.61225242357
ra,al7075,mf,int,white,1,33.4927674787668,33.4927674787668,33.4927674787668,33.4927674787668
ra,al7075,mr,FV,blue,1,278.791044232937,278.791044232937,278.791044232937,278.791044232937
ra,al7075,mr,FV,green,1,142.314251065407,142.314251065407,142.314251065407,142.314251065407
ra,al7075,mr,FV,red,1,97.357975361091,97.357975361091,97.357975361091,97.357975361091
ra,al7075,mr,conf,blue,1,57.8842887803918,57.8842887803918,57.8842887803918,57.8842887803918
ra,al7075,mr,conf,green,1,79.0342127102346,79.0342127102346,79.0342127102346,79.0342127102346
ra,al7075,mr,conf,red,1,97.1399164417483,97.1399164417483,97.1399164417483,97.1399164417483
ra,al7075,mr,fusion,blue,1,96.8906421462502,96.8906421462502,96.8906421462502,96.8906421462502
ra,al7075,mr,fusion,green,1,129.716077335982,129.716077335982,129.716077335982,129.716077335982
ra,al7075,mr,fusion,red,1,145.882316040098,145.882316040098,145.882316040098,145.882316040098
ra,al7075,mr,int,blue,1,53.6023037201248,53.6023037201248,53.6023037201248,53.6023037201248
ra,al7075,mr,int,green,1,42.7863388990324,42.7863388990324,42.7863388990324,42.7863388990324
ra,al7075,mr,int,red,1,182.047428541522,182.047428541522,182.047428541522,182.047428541522
ra,al7075,mr,int,white,1,49.5371548990939,49.5371548990939,49.5371548990939,49.5371548990939
ra,al7075,tf,FV,blue,1,2.45513718401794,2.45513718401794,2.45513718401794,2.45513718401794
ra,al7075,tf,FV,green,1,26.3814326072156,26.3814326072156,26.3814326072156,26.3814326072156
ra,al7075,tf,FV,red,1,27.8763594202811,27.8763594202811,27.8763594202811,27.8763594202811
ra,al7075,tf,conf,blue,1,37.8065305635832,37.8065305635832,37.8065305635832,37.8065305635832
ra,al7075,tf,conf,green,1,26.8236050713632,26.8236050713632,26.8236050713632,26.8236050713632
ra,al7075,tf,conf,red,1,18.0490632391343,18.0490632391343,18.0490632391343,18.0490632391343
ra,al7075,tf,fusion,blue,1,28.9060103396827,28.9060103396827,28.9060103396827,28.9060103396827
ra,al7075,tf,fusion,green,1,13.7361096140719,13.7361096140719,13.7361096140719,13.7361096140719
ra,al7075,tf,fusion,red,1,4.4129997135243,4.4129997135243,4.4129997135243,4.4129997135243
ra,al7075,tf,int,blue,1,27.5923589721983,27.5923589721983,27.5923589721983,27.5923589721983
ra,al7075,tf,int,green,1,45.784596198139,45.784596198139,45.784596198139,45.784596198139
ra,al7075,tf,int,red,1,13.0443965869145,13.0443965869145,13.0443965869145,13.0443965869145
ra,al7075,tf,int,white,1,47.4719727975258,47.4719727975258,47.4719727975258,47.4719727975258
ra,al7075,tr,FV,blue,1,65.7990810780424,65.7990810780424,65.7990810780424,65.7990810780424
ra,al7075,tr,FV,green,1,70.888104398402,70.888104398402,70.888104398402,70.888104398402
ra,al7075,tr,FV,red,1,70.9568433265427,70.9568433265427,70.9568433265427,70.9568433265427
ra,al7075,tr,conf,blue,1,70.0844428338544,70.0844428338544,70.0844428338544,70.0844428338544
ra,al7075,tr,conf,green,1,69.9074569794514,69.9074569794514,69.9074569794514,69.9074569794514
ra,al7075,tr,conf,red,1,68.6438221746473,68.6438221746473,68.6438221746473,68.6438221746473
ra,al7075,tr,fusion,blue,1,68.7970124762689,68.7970124762689,68.7970124762689,68.7970124762689
ra,al7075,tr,fusion,green,1,68.203087574476,68.203087574476,68.203087574476,68.203087574476
ra,al7075,tr,fusion,red,1,66.7822975559401,66.7822975559401,66.7822975559401,66.7822975559401
ra,al7075,tr,int,blue,1,68.2615942806926,68.2615942806926,68.2615942806926,68.2615942806926
ra,al7075,tr,int,green,1,73.0223960379787,73.0223960379787,73.0223960379787,73.0223960379787
ra,al7075,tr,int,red,1,71.8574323542234,71.8574323542234,71.8574323542234,71.8574323542234
ra,al7075,tr,int,white,1,73.0688394820217,73.0688394820217,73.0688394820217,73.0688394820217
ra,al7075,wedm_f,FV,blue,1,78.2390444129736,78.2390444129736,78.2390444129736,78.2390444129736
ra,al7075,wedm_f,FV,green,1,43.1222776344827,43.1222776344827,43.1222776344827,43.1222776344827
ra,al7075,wedm_f,FV,red,1,60.6089191882771,60.6089191882771,60.6089191882771,60.6089191882771
ra,al7075,wedm_f,conf,blue,1,99.3870190500584,99.3870190500584,99.3870190500584,99.3870190500584
ra,al7075,wedm_f,conf,green,1,96.6286230240909,96.6286230240909,96.6286230240909,96.6286230240909
ra,al7075,wedm_f,conf,red,1,126.039078610481,126.039078610481,126.039078610481,126.039078610481
ra,al7075,wedm_f,fusion,blue,1,183.140821899242,183.140821899242,183.140821899242,183.140821899242
ra,al7075,wedm_f,fusion,green,1,166.04758023728,166.04758023728,166.04758023728,166.04758023728
ra,al7075,wedm_f,fusion,red,1,210.300337505511,210.300337505511,210.300337505511,210.300337505511
ra,al7075,wedm_f,int,blue,1,35.7985458510849,35.7985458510849,35.7985458510849,35.7985458510849
ra,al7075,wedm_f,int,green,1,4.12337753915893,4.12337753915893,4.12337753915893,4.12337753915893
ra,al7075,wedm_f,int,red,1,3.19073260976706,3.19073260976706,3.19073260976706,3.19073260976706
ra,al7075,wedm_f,int,white,1,8.30820410655968,8.30820410655968,8.30820410655968,8.30820410655968
ra,al7075,wedm_r,FV,blue,1,13.8448241066791,13.8448241066791,13.8448241066791,13.8448241066791
ra,al7075,wedm_r,FV,green,1,7.25300113326929,7.25300113326929,7.25300113326929,7.25300113326929
ra,al7075,wedm_r,FV,red,1,3.10358605626855,3.10358605626855,3.10358605626855,3.10358605626855
ra,al7075,wedm_r,conf,blue,1,1.61552200658661,1.61552200658661,1.61552200658661,1.61552200658661
ra,al7075,wedm_r,conf,green,1,4.58135915628518,4.58135915628518,4.58135915628518,4.58135915628518
ra,al7075,wedm_r,conf,red,1,11.9509401884167,11.9509401884167,11.9509401884167,11.9509401884167
ra,al7075,wedm_r,fusion,blue,1,15.8533445768414,15.8533445768414,15.8533445768414,15.8533445768414
ra,al7075,wedm_r,fusion,green,1,26.9037454630398,26.9037454630398,26.9037454630398,26.9037454630398
ra,al7075,wedm_r,fusion,red,1,38.3621137143612,38.3621137143612,38.3621137143612,38.3621137143612
ra,al7075,wedm_r,int,blue,1,10.6476591277627,10.6476591277627,10.6476591277627,10.6476591277627
ra,al7075,wedm_r,int,green,1,4.74977630605428,4.74977630605428,4.74977630605428,4.74977630605428
ra,al7075,wedm_r,int,red,1,5.41961695603626,5.41961695603626,5.41961695603626,5.41961695603626
ra,al7075,wedm_r,int,white,1,3.9918026587578,3.9918026587578,3.9918026587578,3.9918026587578
ra,c45,b,FV,blue,1,276.258093072863,276.258093072863,276.258093072863,276.258093072863
ra,c45,b,FV,green,1,100.941902717151,100.941902717151,100.941902717151,100.941902717151
ra,c45,b,FV,red,1,149.163365271809,149.163365271809,149.163365271809,149.163365271809
ra,c45,b,conf,green,1,160.478156013958,160.478156013958,160.478156013958,160.478156013958
ra,c45,b,conf,red,1,216.092280394828,216.092280394828,216.092280394828,216.092280394828
ra,c45,b,fusion,blue,1,173.085485142269,173.085485142269,173.085485142269,173.085485142269
ra,c45,b,fusion,green,1,199.242742593517,199.242742593517,199.242742593517,199.242742593517
ra,c45,b,fusion,red,1,267.339069415089,267.339069415089,267.339069415089,267.339069415089
ra,c45,b,int,blue,2,590.914575179542,590.914575179542,588.9698192224605,592.8593311366235
ra,c45,b,int,green,1,2.8715360386855,2.8715360386855,2.8715360386855,2.8715360386855
ra,c45,b,int,red,1,71.2103504799368,71.2103504799368,71.2103504799368,71.2103504799368
ra,c45,b,int,white,1,1.19216757511038,1.19216757511038,1.19216757511038,1.19216757511038
ra,c45,gla,FV,blue,1,8.98952851184786,8.98952851184786,8.98952851184786,8.98952851184786
ra,c45,gla,FV,green,1,22.1458083150716,22.1458083150716,22.1458083150716,22.1458083150716
ra,c45,gla,FV,red,1,9.33433877981654,9.33433877981654,9.33433877981654,9.33433877981654
ra,c45,gla,conf,blue,1,5.63443129810873,5.63443129810873,5.63443129810873,5.63443129810873
ra,c45,gla,conf,green,1,30.1102623359625,30.1102623359625,30.1102623359625,30.1102623359625
ra,c45,gla,conf,red,1,48.3144778264733,48.3144778264733,48.3144778264733,48.3144778264733
ra,c45,gla,fusion,blue,1,29.6806858893203,29.6806858893203,29.6806858893203,29.6806858893203
ra,c45,gla,fusion,green,1,51.9493210836576,51.9493210836576,51.9493210836576,51.9493210836576
ra,c45,gla,fusion,red,1,72.6928986774418,72.6928986774418,72.6928986774418,72.6928986774418
ra,c45,gla,int,blue,1,22.5501680151096,22.5501680151096,22.5501680151096,22.5501680151096
ra,c45,gla,int,green,1,22.2006184321389,22.2006184321389,22.2006184321389,22.2006184321389
ra,c45,gla,int,red,1,19.9086429864234,19.9086429864234,19.9086429864234,19.9086429864234
ra,c45,gla,int,white,1,22.6906459622271,22.6906459622271,22.6906459622271,22.6906459622271
ra,c45,gri,FV,blue,1,147.921080941742,147.921080941742,147.921080941742,147.921080941742
ra,c45,gri,FV,green,1,95.7536383357018,95.7536383357018,95.7536383357018,95.7536383357018
ra,c45,gri,FV,red,1,134.231653858902,134.231653858902,134.231653858902,134.231653858902
ra,c45,gri,conf,blue,1,46.5213957675668,46.5213957675668,46.5213957675668,46.5213957675668
