"system","n_points","slope_per_nm","slope_se","ci_low","ci_high","p_value"
"conf",3,0.0391072898606995,0.0492746950784926,-0.057471112493146,0.135685692214545,0.57291578875471
"fusion",3,-0.256462653657076,0.0124863803604713,-0.2809359591636,-0.231989348150552,0.030970609367253
"FV",3,0.136468558464738,0.105205278833546,-0.0697337880490123,0.342670904978488,0.418100762410044
"int",3,-0.477644476640342,0.21747037542739,-0.903886412478026,-0.0514025408026577,0.271996214896778
