"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,14228.4965074974,4742.83216916582,2.2930892468918,0.177986289590456
"color",3,10799.7583464876,3599.9194488292,1.74050784074841,0.257876256052332
"Residuals",6,12409.8933583014,2068.3155597169,NA,NA
