"system","n","mean","sd","se"
"fusion",3,12.1267118814309,5.94322499995945,3.4313225535811
"conf",2,19.6151325595942,4.5554716003073,3.22120486008002
"FV",3,34.4636820814528,2.24280670345971,1.29488505398276
"int",4,33.0503315220961,4.40811310888465,2.20405655444232
