"","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_green",0,31.6277209079037,47.3506942664398,29.1041338875896,60.8541915853853,28.6401169930441,33.8126366124961,23.4836958058087,53.1693502174414,86.8928927763504,72.9200290421187,86.8544410174407
"conf_red",31.6277209079037,0,78.9784151743435,2.5235870203141,29.2264706774816,60.2678379009478,65.4403575203998,55.1114167137124,84.7970711253452,118.520613684254,104.547749950022,118.482161925344
"fusion_blue",47.3506942664398,78.9784151743435,0,76.4548281540294,108.204885851825,18.7105772733956,13.5380576539437,23.8669984606311,5.81865595100169,39.5421985099107,25.5693347756789,39.5037467510009
"fusion_green",29.1041338875896,2.5235870203141,76.4548281540294,0,31.7500576977957,57.7442508806337,62.9167705000857,52.5878296933983,82.2734841050311,115.99702666394,102.024162929708,115.95857490503
"fusion_red",60.8541915853853,29.2264706774816,108.204885851825,31.7500576977957,0,89.4943085784294,94.6668281978813,84.337887391194,114.023541802827,147.747084361736,133.774220627504,147.708632602826
"FV_blue",28.6401169930441,60.2678379009478,18.7105772733956,57.7442508806337,89.4943085784294,0,5.17251961945195,5.15642118723542,24.5292332243973,58.2527757833063,44.2799120490745,58.2143240243966
"FV_green",33.8126366124961,65.4403575203998,13.5380576539437,62.9167705000857,94.6668281978813,5.17251961945195,0,10.3289408066874,19.3567136049454,53.0802561638544,39.1073924296226,53.0418044049446
"FV_red",23.4836958058087,55.1114167137124,23.8669984606311,52.5878296933983,84.337887391194,5.15642118723542,10.3289408066874,0,29.6856544116328,63.4091969705417,49.43633323631,63.370745211632
"int_blue",53.1693502174414,84.7970711253452,5.81865595100169,82.2734841050311,114.023541802827,24.5292332243973,19.3567136049454,29.6856544116328,0,33.723542558909,19.7506788246772,33.6850907999992
"int_green",86.8928927763504,118.520613684254,39.5421985099107,115.99702666394,147.747084361736,58.2527757833063,53.0802561638544,63.4091969705417,33.723542558909,0,13.9728637342318,0.03845175890973
"int_red",72.9200290421187,104.547749950022,25.5693347756789,102.024162929708,133.774220627504,44.2799120490745,39.1073924296226,49.43633323631,19.7506788246772,13.9728637342318,0,13.934411975322
"int_white",86.8544410174407,118.482161925344,39.5037467510009,115.95857490503,147.708632602826,58.2143240243966,53.0418044049446,63.370745211632,33.6850907999992,0.03845175890973,13.934411975322,0
