"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_blue","FV_green","FV_red","int_blue","int_green","int_red"
"conf_blue",0,22.5450723106084,20.8962359468573,3.59684970528669,28.1827805984319,38.4509347221953,27.6255509138074,42.6894161882498,27.3689664957304,44.2133813013075,38.9714483308024,33.5183407555505,34.7480260694327
"conf_green",22.5450723106084,0,1.6488363637511,26.1419220158951,5.63770828782346,15.9058624115868,5.08047860319902,20.1443438776414,49.9140388063388,66.758453611916,61.5165206414108,56.063413066159,57.2930983800411
"conf_red",20.8962359468573,1.6488363637511,0,24.493085652144,7.28654465157457,17.5546987753379,6.72931496695012,21.7931802413925,48.2652024425877,65.1096172481649,59.8676842776597,54.4145767024079,55.64426201629
"fusion_blue",3.59684970528669,26.1419220158951,24.493085652144,0,31.7796303037186,42.047784427482,31.2224006190941,46.2862658935365,23.7721167904437,40.6165315960208,35.3745986255157,29.9214910502638,31.151176364146
"fusion_green",28.1827805984319,5.63770828782346,7.28654465157457,31.7796303037186,0,10.2681541237634,0.557229684624446,14.5066355898179,55.5517470941623,72.3961618997394,67.1542289292343,61.7011213539824,62.9308066678646
"fusion_red",38.4509347221953,15.9058624115868,17.5546987753379,42.047784427482,10.2681541237634,0,10.8253838083878,4.23848146605454,65.8199012179256,82.6643160235028,77.4223830529976,71.9692754777458,73.198960791628
"FV_blue",27.6255509138074,5.08047860319902,6.72931496695012,31.2224006190941,0.557229684624446,10.8253838083878,0,15.0638652744424,54.9945174095378,71.838932215115,66.5969992446098,61.143891669358,62.3735769832401
"FV_blue",42.6894161882498,20.1443438776414,21.7931802413925,46.2862658935365,14.5066355898179,4.23848146605454,15.0638652744424,0,70.0583826839802,86.9027974895573,81.6608645190522,76.2077569438003,77.4374422576825
"FV_green",27.3689664957304,49.9140388063388,48.2652024425877,23.7721167904437,55.5517470941623,65.8199012179256,54.9945174095378,70.0583826839802,0,16.8444148055771,11.602481835072,6.14937425982015,7.37905957370232
"FV_red",44.2133813013075,66.758453611916,65.1096172481649,40.6165315960208,72.3961618997394,82.6643160235028,71.838932215115,86.9027974895573,16.8444148055771,0,5.24193297050516,10.695040545757,9.46535523187482
"int_blue",38.9714483308024,61.5165206414108,59.8676842776597,35.3745986255157,67.1542289292343,77.4223830529976,66.5969992446098,81.6608645190522,11.602481835072,5.24193297050516,0,5.45310757525183,4.22342226136966
"int_green",33.5183407555505,56.063413066159,54.4145767024079,29.9214910502638,61.7011213539824,71.9692754777458,61.143891669358,76.2077569438003,6.14937425982015,10.695040545757,5.45310757525183,0,1.22968531388217
"int_red",34.7480260694327,57.2930983800411,55.64426201629,31.151176364146,62.9308066678646,73.198960791628,62.3735769832401,77.4374422576825,7.37905957370232,9.46535523187482,4.22342226136966,1.22968531388217,0
