"system","n_points","slope_per_nm","slope_se","ci_low","ci_high","p_value"
"conf",3,-2.34117584101709e-05,1.35148067172006e-05,-4.99007795758841e-05,3.07726275554223e-06,0.333292985884685
"fusion",3,-2.39293028553577e-05,1.38231351685503e-05,-5.10226477857163e-05,3.16404207500091e-06,0.333483873683699
"FV",3,-2.40697186023298e-05,3.34221248682186e-07,-2.47247922497469e-05,-2.34146449549127e-05,0.00883924675711012
"int",3,4.45409206899461e-05,7.70160436389395e-05,-0.000106410524842375,0.000195492366222268,0.666197639974208
