view,stratum,n,good_n,mid_n,poor_n,median_abs_diff_pct,q25_abs_diff_pct,q75_abs_diff_pct,modal_workflow,good_pct,mid_pct,poor_pct
Optical system,conf,172,0,0,172,99.95267236610715,99.94086989416897,99.96825979786428,all colours,0,0,100
Optical system,FV,177,0,0,177,99.9236340014468,99.8979025070455,99.9463770220963,all colours,0,0,100
Optical system,fusion,177,0,0,177,99.9623708034141,99.9503076345583,99.9752615104643,all colours,0,0,100
Optical system,int,233,0,0,233,99.9317648266603,99.9098977604591,99.9457852431996,all colours,0,0,100
Material,14301,10,0,0,10,99.91172686459825,99.87793036313776,99.942439130968,"FV, white",0,0,100
Material,al7075,10,0,0,10,99.906260272826,99.83671527539406,99.92242166947746,"FV, white",0,0,100
Material,c45,10,0,0,10,99.90302326595236,99.87465555700247,99.92123602706985,"int, white",0,0,100
Material,ellor,9,0,0,9,99.9245130249369,99.8725395416752,99.9273134917115,"int, blue",0,0,100
Material,mo58a,10,0,0,10,99.89624971853615,99.85426335503438,99.91410548359768,"FV, green",0,0,100
Material,ti6al4v,10,0,0,10,99.87763910993195,99.86569529943323,99.94128184201736,"int, white",0,0,100
Process,mr,6,0,0,6,99.8918919410633,99.83516172899718,99.9252457620357,"int, white",0,0,100
Process,mf,6,0,0,6,99.9392156780465,99.92654629692602,99.95668385460621,"int, white",0,0,100
Process,tr,6,0,0,6,99.83795977125266,99.7486378701186,99.84858505467321,"int, white",0,0,100
Process,tf,6,0,0,6,99.80025946672265,99.613165451443,99.87145151639542,"int, white",0,0,100
Process,b,5,0,0,5,99.94999397770181,99.9488954965066,99.9541866153367,"int, white",0,0,100
Process,wedm_r,6,0,0,6,99.89463198520065,99.87424620874194,99.91214502248413,"int, blue",0,0,100
Process,wedm_f,6,0,0,6,99.8857604539464,99.87434585827845,99.8914028909226,"FV, green",0,0,100
Process,gri,6,0,0,6,99.9129846361609,99.89807624726863,99.93086437934483,"FV, green",0,0,100
Process,gla,6,0,0,6,99.92480354439705,99.91708990606378,99.93663314676897,"FV, green",0,0,100
Process,hon,6,0,0,6,99.88651831740276,99.8736910652187,99.8990009830906,"FV, green",0,0,100
