"system","n_points","slope_per_nm","slope_se","ci_low","ci_high","p_value"
"conf",3,6.96988786727173e-06,3.24406336349567e-06,6.11523674820219e-07,1.33282520597232e-05,0.277323821589558
"fusion",3,1.81181403002392e-05,1.16593463424864e-05,-4.73417853103411e-06,4.09704591315124e-05,0.364022260502029
"FV",3,2.12272069024438e-05,5.0593149605361e-06,1.13109495797931e-05,3.11434642250946e-05,0.148953620869167
"int",3,0.000296092745602279,0.000244213521403568,-0.000182565756348715,0.000774751247553273,0.439059749481304
