"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,831.144879418903,277.048293139634,5.92652577285199,0.0316259348641709
"color",3,50.3953446917511,16.7984482305837,0.359346867848404,0.784891653713887
"Residuals",6,280.483005144829,46.7471675241382,NA,NA
