"system","n_points","slope_per_nm","slope_se","ci_low","ci_high","p_value"
"conf",3,1.09310898422246e-05,1.97986793820437e-05,-2.7874321746581e-05,4.97365014310302e-05,0.678848679294033
"fusion",3,3.09495728043775e-05,3.14230041955382e-05,-3.06395154188774e-05,9.25386610276324e-05,0.504832091457191
"FV",3,1.31914932417203e-05,1.02134082587158e-05,-6.82678694536266e-06,3.32097734288033e-05,0.419428238578507
"int",3,0.000142289502355587,0.000104746431737447,-6.30135038498098e-05,0.000347592508560983,0.403984959093567
