"color","n","mean","sd","se"
"blue",4,24.6364235204094,17.9155403388098,8.9577701694049
"green",4,46.3910807204379,17.5647728566177,8.78238642830885
"red",4,44.7085058094361,14.9956092347241,7.49780461736203
"white",1,68.0162073103879,NA,NA
