"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"system",3,917.608996511465,305.869665503822,0.368021421106807,0.779168802616604
"color",3,551.360284948941,183.786761649647,0.221131654528442,0.878401731649093
"Residuals",6,4986.71514148171,831.119190246951,NA,NA
