"","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_blue","int_green","int_red","int_white"
"conf_green",0,57.2221350032191,14.6538295333025,42.6449455988272,114.531377692863,106.918548954459,61.962251046141,16.1235159775218,391.579642528348,398.379627434689,151.413423695847,89.0366581982764,149.699765035556
"conf_red",57.2221350032191,0,42.5683054699166,14.5771894043919,57.3092426896439,49.6964139512395,119.18438604936,73.3456509807409,334.357507525129,341.15749243147,208.635558699066,146.258793201496,206.921900038775
"fusion_blue",14.6538295333025,42.5683054699166,0,27.9911160655247,99.8775481595604,92.2647194211561,76.6160805794435,30.7773455108243,376.925812995045,383.725797901386,166.06725322915,103.690487731579,164.353594568859
"fusion_green",42.6449455988272,14.5771894043919,27.9911160655247,0,71.8864320940358,64.2736033556314,104.607196644968,58.768461576349,348.934696929521,355.734681835862,194.058369294674,131.681603797104,192.344710634383
"fusion_red",114.531377692863,57.3092426896439,99.8775481595604,71.8864320940358,0,7.61282873840435,176.493628739004,130.654893670385,277.048264835485,283.848249741826,265.94480138871,203.568035891139,264.231142728419
"FV_blue",106.918548954459,49.6964139512395,92.2647194211561,64.2736033556314,7.61282873840435,0,168.8808000006,123.04206493198,284.661093573889,291.46107848023,258.331972650306,195.955207152735,256.618313990015
"FV_green",61.962251046141,119.18438604936,76.6160805794435,104.607196644968,176.493628739004,168.8808000006,0,45.8387350686192,453.541893574489,460.34187848083,89.4511726497062,27.0744071521354,87.7375139894151
"FV_red",16.1235159775218,73.3456509807409,30.7773455108243,58.768461576349,130.654893670385,123.04206493198,45.8387350686192,0,407.70315850587,414.503143412211,135.289907718325,72.9131422207546,133.576249058034
"int_blue",391.579642528348,334.357507525129,376.925812995045,348.934696929521,277.048264835485,284.661093573889,453.541893574489,407.70315850587,0,6.79998490634114,542.993066224195,480.616300726624,541.279407563904
"int_blue",398.379627434689,341.15749243147,383.725797901386,355.734681835862,283.848249741826,291.46107848023,460.34187848083,414.503143412211,6.79998490634114,0,549.793051130536,487.416285632965,548.079392470245
"int_green",151.413423695847,208.635558699066,166.06725322915,194.058369294674,265.94480138871,258.331972650306,89.4511726497062,135.289907718325,542.993066224195,549.793051130536,0,62.3767654975708,1.71365866029106
"int_red",89.0366581982764,146.258793201496,103.690487731579,131.681603797104,203.568035891139,195.955207152735,27.0744071521354,72.9131422207546,480.616300726624,487.416285632965,62.3767654975708,0,60.6631068372797
"int_white",149.699765035556,206.921900038775,164.353594568859,192.344710634383,264.231142728419,256.618313990015,87.7375139894151,133.576249058034,541.279407563904,548.079392470245,1.71365866029106,60.6631068372797,0
