"","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_green",0,4.02930882487699,0.646474524204713,4.85127682477364,9.61543385987054,1.83837733584653,6.59971346226909,4.31086128830699,1.56029545358768,6.15888935089107,5.60046897008093,6.23954411673773
"conf_red",4.02930882487699,0,3.38283430067228,0.82196799989665,5.58612503499355,5.86768616072352,10.6290222871461,8.34017011318398,2.46901337128931,10.1881981757681,9.62977779495792,10.2688529416147
"fusion_blue",0.646474524204713,3.38283430067228,0,4.20480230056893,8.96895933566583,2.48485186005124,7.24618798647381,4.9573358125117,0.913820929382965,6.80536387509579,6.24694349428565,6.88601864094244
"fusion_green",4.85127682477364,0.82196799989665,4.20480230056893,0,4.7641570350969,6.68965416062017,11.4509902870427,9.16213811308063,3.29098137118596,11.0101661756647,10.4517457948546,11.0908209415114
"fusion_red",9.61543385987054,5.58612503499355,8.96895933566583,4.7641570350969,0,11.4538111957171,16.2151473221396,13.9262951481775,8.05513840628286,15.7743232107616,15.2159028299515,15.8549779766083
"FV_blue",1.83837733584653,5.86768616072352,2.48485186005124,6.68965416062017,11.4538111957171,0,4.76133612642256,2.47248395246046,3.39867278943421,4.32051201504454,3.7620916342344,4.4011667808912
"FV_green",6.59971346226909,10.6290222871461,7.24618798647381,11.4509902870427,16.2151473221396,4.76133612642256,0,2.28885217396211,8.16000891585677,0.440824111378021,0.999244492188161,0.360169345531368
"FV_red",4.31086128830699,8.34017011318398,4.9573358125117,9.16213811308063,13.9262951481775,2.47248395246046,2.28885217396211,0,5.87115674189467,1.84802806258408,1.28960768177394,1.92868282843074
"int_blue",1.56029545358768,2.46901337128931,0.913820929382965,3.29098137118596,8.05513840628286,3.39867278943421,8.16000891585677,5.87115674189467,0,7.71918480447875,7.16076442366861,7.7998395703254
"int_green",6.15888935089107,10.1881981757681,6.80536387509579,11.0101661756647,15.7743232107616,4.32051201504454,0.440824111378021,1.84802806258408,7.71918480447875,0,0.558420380810141,0.0806547658466528
"int_red",5.60046897008093,9.62977779495792,6.24694349428565,10.4517457948546,15.2159028299515,3.7620916342344,0.999244492188161,1.28960768177394,7.16076442366861,0.558420380810141,0,0.639075146656793
"int_white",6.23954411673773,10.2688529416147,6.88601864094244,11.0908209415114,15.8549779766083,4.4011667808912,0.360169345531368,1.92868282843074,7.7998395703254,0.0806547658466528,0.639075146656793,0
