param,n_groups,median_best,q25_best,q75_best,good_n,mid_n,poor_n,best_system_mode,best_color_mode,good_pct,mid_pct,poor_pct
ra,59,9.81671957298616,2.561816336083215,21.844468188324697,30,16,13,int,red,50.847457627118644,27.11864406779661,22.033898305084747
rq,59,7.37799806884879,2.3552163367602548,22.545711692096297,35,12,12,int,red,59.32203389830509,20.338983050847457,20.338983050847457
rsm,59,99.9029506385407,99.867537155979,99.9284944460286,0,0,59,int,white,0,0,100
rt,59,6.64587027362221,2.09954773619388,13.20906134733405,39,13,7,int,green,66.10169491525424,22.033898305084747,11.864406779661017
rv,59,4.8395292222555,1.25655409991832,18.99809880015335,40,7,12,int,red,67.79661016949153,11.864406779661017,20.338983050847457
rz,59,5.33432182124376,1.219123765437415,20.316494970492897,37,10,12,int,red,62.71186440677966,16.949152542372882,20.338983050847457
rz1max,59,5.7169746257654,1.99191746804921,12.25307041265975,41,10,8,int,red,69.49152542372882,16.949152542372882,13.559322033898304
