"color","n","mean","sd","se"
"blue",4,53.9723005221807,17.6771133252893,8.83855666264463
"green",4,48.8845193261354,26.1853775180062,13.0926887590031
"red",4,62.5955609260512,31.6505319225158,15.8252659612579
"white",1,20.7953606617574,NA,NA
