"system","n","mean","sd","se"
"fusion",3,70.0729510080041,7.62695637332875,4.40342531523889
"conf",2,34.0231789088717,9.48191418965943,6.70472582213713
"FV",3,43.5510133267622,23.6643528777355,13.6626205041589
"int",4,30.6060787196217,19.7399343566695,9.86996717833477
