"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,2.31111882601076,5.63929604472229,4.94796409212515,7.33680715337702,10.9222743198946,10.089670864724,2.08382830812276,2.1338057069114,6.51399271910211,7.77973119027082,3.52871539976523,8.00511972612554
"conf_green",2.31111882601076,0,3.32817721871152,2.63684526611438,5.02568832736625,8.61115549388381,7.77855203871329,4.39494713413352,4.44492453292216,4.20287389309135,10.0908500162816,5.83983422577599,10.3162385521363
"conf_red",5.63929604472229,3.32817721871152,0,0.691331952597139,1.69751110865473,5.28297827517228,4.45037482000176,7.72312435284505,7.77310175163368,0.874696674379827,13.4190272349931,9.16801144448752,13.6444157708478
"fusion_blue",4.94796409212515,2.63684526611438,0.691331952597139,0,2.38884306125187,5.97431022776942,5.1417067725989,7.03179240024791,7.08176979903654,1.56602862697697,12.727695282396,8.47667949189038,12.9530838182507
"fusion_green",7.33680715337702,5.02568832736625,1.69751110865473,2.38884306125187,0,3.58546716651755,2.75286371134703,9.42063546149978,9.47061286028841,0.822814434274903,15.1165383436478,10.8655225531422,15.3419268795026
"fusion_red",10.9222743198946,8.61115549388381,5.28297827517228,5.97431022776942,3.58546716651755,0,0.832603455170521,13.0061026280173,13.056080026806,4.40828160079246,18.7020055101654,14.4509897196598,18.9273940460201
"FV_blue",10.089670864724,7.77855203871329,4.45037482000176,5.1417067725989,2.75286371134703,0.832603455170521,0,12.1734991728468,12.2234765716354,3.57567814562194,17.8694020549949,13.6183862644893,18.0947905908496
"FV_green",2.08382830812276,4.39494713413352,7.72312435284505,7.03179240024791,9.42063546149978,13.0061026280173,12.1734991728468,0,0.0499773987886343,8.59782102722487,5.69590288214806,1.44488709164247,5.92129141800278
"FV_red",2.1338057069114,4.44492453292216,7.77310175163368,7.08176979903654,9.47061286028841,13.056080026806,12.2234765716354,0.0499773987886343,0,8.64779842601351,5.64592548335943,1.39490969285384,5.87131401921415
"int_blue",6.51399271910211,4.20287389309135,0.874696674379827,1.56602862697697,0.822814434274903,4.40828160079246,3.57567814562194,8.59782102722487,8.64779842601351,0,14.2937239093729,10.0427081188673,14.5191124452277
"int_green",7.77973119027082,10.0908500162816,13.4190272349931,12.727695282396,15.1165383436478,18.7020055101654,17.8694020549949,5.69590288214806,5.64592548335943,14.2937239093729,0,4.25101579050559,0.225388535854719
"int_red",3.52871539976523,5.83983422577599,9.16801144448752,8.47667949189038,10.8655225531422,14.4509897196598,13.6183862644893,1.44488709164247,1.39490969285384,10.0427081188673,4.25101579050559,0,4.47640432636031
"int_white",8.00511972612554,10.3162385521363,13.6444157708478,12.9530838182507,15.3419268795026,18.9273940460201,18.0947905908496,5.92129141800278,5.87131401921415,14.5191124452277,0.225388535854719,4.47640432636031,0
