scope,scale_assumption,n,median_abs_diff_pct,q25_abs_diff_pct,q75_abs_diff_pct,good_n,mid_n,poor_n,ratio_median,good_pct,mid_pct,poor_pct
All retained system-colour entries,Exported optical value,761,99.9444371037395,99.9208491681683,99.9632339169167,0,0,761,1799.7621925820958,0,0,100
All retained system-colour entries,Optical value multiplied by 1000,761,47.446822568729615,27.952014252409352,66.04052038257998,53,150,558,1.7997621925820957,6.964520367936925,19.71090670170828,73.32457293035479
Lowest-discrepancy workflow per material-process group,Exported optical value,59,99.9029506385407,99.867537155979,99.92754256509104,0,0,59,1030.4034822724038,0,0,100
Lowest-discrepancy workflow per material-process group,Optical value multiplied by 1000,59,17.273176687548702,3.8537040586229105,30.240409550084117,24,20,15,1.1835448162974527,40.67796610169491,33.898305084745765,25.423728813559322
