"system","n","mean","sd","se"
"fusion",3,4.05269505451906,4.19737986591871,2.42335839547928
"conf",3,17.6332092916921,8.32445308049743,4.8061252268816
"FV",3,24.4254130319285,10.9737177674725,6.33567890706125
"int",4,40.3636837412272,29.2606074169846,14.6303037084923
